Compound,laps,drivers,average_lap_seconds,best_lap_seconds,share
INTERMEDIATE,601,17,96.73,87.126,0.8199
HARD,67,8,111.654,82.167,0.0914
MEDIUM,65,8,107.086,82.97,0.0887
