pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,NOR,McLaren,4,45,99.154,90.3,82.167,18.321,5.379
2,PIA,McLaren,81,45,97.82,90.696,83.242,14.874,4.045
3,VER,Red Bull Racing,1,45,98.087,91.04,83.081,16.235,4.312
4,RUS,Mercedes,63,45,99.192,91.739,85.065,16.106,5.417
5,LEC,Ferrari,16,46,99.093,92.03,85.271,15.88,5.318
6,ANT,Mercedes,12,46,100.448,92.196,84.901,16.163,6.673
7,ALO,Aston Martin,14,26,93.775,92.533,88.819,6.859,0.0
8,TSU,Racing Bulls,22,46,99.55,92.597,84.194,15.204,5.775
9,ALB,Williams,23,46,100.542,92.764,84.597,15.993,6.767
10,GAS,Alpine,10,46,99.989,92.77,85.02,15.309,6.214
11,HAM,Ferrari,44,46,99.315,92.854,84.218,15.051,5.54
12,STR,Aston Martin,18,46,100.85,92.89,85.538,15.837,7.075
13,BOR,Kick Sauber,5,34,97.7,93.521,84.192,13.675,3.925
14,LAW,Red Bull Racing,30,36,96.154,93.56,82.97,10.848,2.379
15,HUL,Kick Sauber,27,46,100.777,93.826,85.243,15.506,7.002
16,BEA,Haas F1 Team,87,44,98.539,93.852,87.603,11.961,4.764
17,OCO,Haas F1 Team,31,45,98.919,93.936,86.764,12.013,5.144
