pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,PER,Red Bull Racing,11,52,91.832,91.592,90.56,0.765,0.175
2,VER,Red Bull Racing,1,52,91.657,91.756,89.708,0.801,0.0
3,RUS,Mercedes,63,52,92.274,92.131,91.015,0.736,0.617
4,ALO,Aston Martin,14,52,92.212,92.284,90.519,0.707,0.555
5,SAI,Ferrari,55,52,92.407,92.4,91.362,0.64,0.75
6,GAS,Alpine,10,52,92.681,92.517,91.971,0.614,1.024
7,LEC,Ferrari,16,52,92.6,92.53,91.434,0.751,0.943
8,ALB,Williams,23,52,92.91,92.554,91.852,0.75,1.253
9,MAG,Haas F1 Team,20,52,92.79,92.661,91.691,0.612,1.133
10,HAM,Mercedes,44,52,92.555,92.679,90.669,0.995,0.898
11,STR,Aston Martin,18,52,92.745,92.686,90.862,0.992,1.088
12,BOT,Alfa Romeo,77,52,92.891,92.82,91.838,0.608,1.234
13,TSU,AlphaTauri,22,52,92.763,92.876,91.038,0.862,1.106
14,DEV,AlphaTauri,21,52,93.071,92.902,91.562,0.766,1.414
15,OCO,Alpine,31,52,92.719,92.921,91.143,0.801,1.062
16,HUL,Haas F1 Team,27,52,92.927,93.018,90.901,0.801,1.27
17,NOR,McLaren,4,52,93.064,93.09,92.401,0.33,1.407
18,ZHO,Alfa Romeo,24,52,92.978,93.12,91.736,0.881,1.321
19,SAR,Williams,2,51,93.332,93.384,92.384,0.45,1.675
20,PIA,McLaren,81,51,93.635,93.434,92.006,0.785,1.978
