constructor,constructor_id,constructor_nationality,driver_code,driver_id,driver_name,driver_nationality,driver_number,event_id,event_name,position,q1,q2,q3,round,year
Mercedes,mercedes,German,HAM,hamilton,Lewis Hamilton,British,44,2014-melbourne,Australian Grand Prix,1,1:31.699,1:42.890,1:44.231,1,2014
Red Bull,red_bull,Austrian,RIC,ricciardo,Daniel Ricciardo,Australian,3,2014-melbourne,Australian Grand Prix,2,1:30.775,1:42.295,1:44.548,1,2014
Mercedes,mercedes,German,ROS,rosberg,Nico Rosberg,German,6,2014-melbourne,Australian Grand Prix,3,1:32.564,1:42.264,1:44.595,1,2014
McLaren,mclaren,British,MAG,kevin_magnussen,Kevin Magnussen,Danish,20,2014-melbourne,Australian Grand Prix,4,1:30.949,1:43.247,1:45.745,1,2014
Ferrari,ferrari,Italian,ALO,alonso,Fernando Alonso,Spanish,14,2014-melbourne,Australian Grand Prix,5,1:31.388,1:42.805,1:45.819,1,2014
Toro Rosso,toro_rosso,Italian,VER,vergne,Jean-Éric Vergne,French,25,2014-melbourne,Australian Grand Prix,6,1:33.488,1:43.849,1:45.864,1,2014
Force India,force_india,Indian,HUL,hulkenberg,Nico Hülkenberg,German,27,2014-melbourne,Australian Grand Prix,7,1:33.893,1:43.658,1:46.030,1,2014
Toro Rosso,toro_rosso,Italian,KVY,kvyat,Daniil Kvyat,Russian,26,2014-melbourne,Australian Grand Prix,8,1:33.777,1:44.331,1:47.368,1,2014
Williams,williams,British,MAS,massa,Felipe Massa,Brazilian,19,2014-melbourne,Australian Grand Prix,9,1:31.228,1:44.242,1:48.079,1,2014
Williams,williams,British,BOT,bottas,Valtteri Bottas,Finnish,77,2014-melbourne,Australian Grand Prix,10,1:31.601,1:43.852,1:48.147,1,2014
McLaren,mclaren,British,BUT,button,Jenson Button,British,22,2014-melbourne,Australian Grand Prix,11,1:31.396,1:44.437,,1,2014
Ferrari,ferrari,Italian,RAI,raikkonen,Kimi Räikkönen,Finnish,7,2014-melbourne,Australian Grand Prix,12,1:32.439,1:44.494,,1,2014
Red Bull,red_bull,Austrian,VET,vettel,Sebastian Vettel,German,5,2014-melbourne,Australian Grand Prix,13,1:31.931,1:44.688,,1,2014
Sauber,sauber,Swiss,SUT,sutil,Adrian Sutil,German,99,2014-melbourne,Australian Grand Prix,14,1:33.673,1:45.655,,1,2014
Caterham,caterham,Malaysian,KOB,kobayashi,Kamui Kobayashi,Japanese,10,2014-melbourne,Australian Grand Prix,15,1:34.274,1:45.867,,1,2014
Force India,force_india,Indian,PER,perez,Sergio Pérez,Mexican,11,2014-melbourne,Australian Grand Prix,16,1:34.141,1:47.293,,1,2014
Marussia,marussia,Russian,CHI,chilton,Max Chilton,British,4,2014-melbourne,Australian Grand Prix,17,1:34.293,,,1,2014
Marussia,marussia,Russian,BIA,jules_bianchi,Jules Bianchi,French,17,2014-melbourne,Australian Grand Prix,18,1:34.794,,,1,2014
Sauber,sauber,Swiss,GUT,gutierrez,Esteban Gutiérrez,Mexican,21,2014-melbourne,Australian Grand Prix,19,1:35.117,,,1,2014
Caterham,caterham,Malaysian,ERI,ericsson,Marcus Ericsson,Swedish,9,2014-melbourne,Australian Grand Prix,20,1:35.157,,,1,2014
Lotus F1,lotus_f1,British,GRO,grosjean,Romain Grosjean,French,8,2014-melbourne,Australian Grand Prix,21,1:36.993,,,1,2014
Lotus F1,lotus_f1,British,MAL,maldonado,Pastor Maldonado,Venezuelan,13,2014-melbourne,Australian Grand Prix,22,,,,1,2014
Mercedes,mercedes,German,HAM,hamilton,Lewis Hamilton,British,44,2014-kuala-lumpur,Malaysian Grand Prix,1,1:57.202,1:59.041,1:59.431,2,2014
Red Bull,red_bull,Austrian,VET,vettel,Sebastian Vettel,German,5,2014-kuala-lumpur,Malaysian Grand Prix,2,1:57.654,1:59.399,1:59.486,2,2014
Mercedes,mercedes,German,ROS,rosberg,Nico Rosberg,German,6,2014-kuala-lumpur,Malaysian Grand Prix,3,1:57.183,1:59.445,2:00.050,2,2014
Ferrari,ferrari,Italian,ALO,alonso,Fernando Alonso,Spanish,14,2014-kuala-lumpur,Malaysian Grand Prix,4,1:58.889,2:01.356,2:00.175,2,2014
