constructor,constructor_id,constructor_nationality,constructor_url,points,position,position_text,wins,year
Mercedes,mercedes,German,https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,701.0,1,1,16,2014
Red Bull,red_bull,Austrian,https://en.wikipedia.org/wiki/Red_Bull_Racing,405.0,2,2,3,2014
Williams,williams,British,https://en.wikipedia.org/wiki/Williams_Racing,320.0,3,3,0,2014
Ferrari,ferrari,Italian,https://en.wikipedia.org/wiki/Scuderia_Ferrari,216.0,4,4,0,2014
McLaren,mclaren,British,https://en.wikipedia.org/wiki/McLaren,181.0,5,5,0,2014
Force India,force_india,Indian,https://en.wikipedia.org/wiki/Racing_Point_Force_India,155.0,6,6,0,2014
Toro Rosso,toro_rosso,Italian,https://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,30.0,7,7,0,2014
Lotus F1,lotus_f1,British,https://en.wikipedia.org/wiki/Lotus_F1,10.0,8,8,0,2014
Marussia,marussia,Russian,https://en.wikipedia.org/wiki/Marussia_F1,2.0,9,9,0,2014
Sauber,sauber,Swiss,https://en.wikipedia.org/wiki/Sauber_Motorsport,0.0,10,10,0,2014
Caterham,caterham,Malaysian,https://en.wikipedia.org/wiki/Caterham_F1,0.0,11,11,0,2014
