constructor,constructor_id,constructor_nationality,driver_code,driver_id,driver_name,driver_nationality,driver_number,event_id,event_name,position,q1,q2,q3,round,year
Mercedes,mercedes,German,HAM,hamilton,Lewis Hamilton,British,44,2019-melbourne,Australian Grand Prix,1,1:22.043,1:21.014,1:20.486,1,2019
Mercedes,mercedes,German,BOT,bottas,Valtteri Bottas,Finnish,77,2019-melbourne,Australian Grand Prix,2,1:22.367,1:21.193,1:20.598,1,2019
Ferrari,ferrari,Italian,VET,vettel,Sebastian Vettel,German,5,2019-melbourne,Australian Grand Prix,3,1:22.885,1:21.912,1:21.190,1,2019
Red Bull,red_bull,Austrian,VER,max_verstappen,Max Verstappen,Dutch,3,2019-melbourne,Australian Grand Prix,4,1:22.876,1:21.678,1:21.320,1,2019
Ferrari,ferrari,Italian,LEC,leclerc,Charles Leclerc,Monegasque,16,2019-melbourne,Australian Grand Prix,5,1:22.017,1:21.739,1:21.442,1,2019
Haas F1 Team,haas,American,GRO,grosjean,Romain Grosjean,French,8,2019-melbourne,Australian Grand Prix,6,1:22.959,1:21.870,1:21.826,1,2019
Haas F1 Team,haas,American,MAG,kevin_magnussen,Kevin Magnussen,Danish,20,2019-melbourne,Australian Grand Prix,7,1:22.519,1:22.221,1:22.099,1,2019
McLaren,mclaren,British,NOR,norris,Lando Norris,British,1,2019-melbourne,Australian Grand Prix,8,1:22.702,1:22.423,1:22.304,1,2019
Alfa Romeo,alfa,Swiss,RAI,raikkonen,Kimi Räikkönen,Finnish,7,2019-melbourne,Australian Grand Prix,9,1:22.966,1:22.349,1:22.314,1,2019
Racing Point,racing_point,British,PER,perez,Sergio Pérez,Mexican,11,2019-melbourne,Australian Grand Prix,10,1:22.908,1:22.532,1:22.781,1,2019
Renault,renault,French,HUL,hulkenberg,Nico Hülkenberg,German,27,2019-melbourne,Australian Grand Prix,11,1:22.540,1:22.562,,1,2019
Renault,renault,French,RIC,ricciardo,Daniel Ricciardo,Australian,3,2019-melbourne,Australian Grand Prix,12,1:22.921,1:22.570,,1,2019
Toro Rosso,toro_rosso,Italian,ALB,albon,Alexander Albon,Thai,23,2019-melbourne,Australian Grand Prix,13,1:22.757,1:22.636,,1,2019
Alfa Romeo,alfa,Swiss,GIO,giovinazzi,Antonio Giovinazzi,Italian,99,2019-melbourne,Australian Grand Prix,14,1:22.431,1:22.714,,1,2019
Toro Rosso,toro_rosso,Italian,KVY,kvyat,Daniil Kvyat,Russian,26,2019-melbourne,Australian Grand Prix,15,1:22.511,1:22.774,,1,2019
Racing Point,racing_point,British,STR,stroll,Lance Stroll,Canadian,18,2019-melbourne,Australian Grand Prix,16,1:23.017,,,1,2019
Red Bull,red_bull,Austrian,GAS,gasly,Pierre Gasly,French,10,2019-melbourne,Australian Grand Prix,17,1:23.020,,,1,2019
