pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,VER,Red Bull Racing,1,58,80.841,80.761,80.366,0.305,0.019
2,NOR,McLaren,4,58,80.822,80.79,79.994,0.444,0.0
3,LEC,Ferrari,16,58,80.924,80.908,79.935,0.475,0.102
4,PIA,McLaren,81,58,81.032,80.963,79.907,0.489,0.21
5,SAI,Ferrari,55,58,81.167,81.084,80.22,0.477,0.345
6,RUS,Mercedes,63,56,81.082,81.161,78.589,0.714,0.26
7,HAM,Mercedes,44,58,81.28,81.26,80.331,0.554,0.458
8,ALB,Williams,23,40,81.945,81.812,81.274,0.43,1.123
9,PER,Red Bull Racing,11,58,81.54,81.892,79.686,1.024,0.718
10,TSU,RB,22,57,82.363,82.241,80.936,0.517,1.541
11,RIC,RB,3,57,82.491,82.261,81.569,0.607,1.669
12,GAS,Alpine,10,55,82.38,82.296,81.371,0.625,1.558
13,STR,Aston Martin,18,58,81.997,82.369,80.57,0.862,1.175
14,HUL,Haas F1 Team,27,57,82.516,82.412,81.7,0.492,1.694
15,ALO,Aston Martin,14,52,82.173,82.613,79.004,1.001,1.351
16,BOT,Kick Sauber,77,57,82.878,82.709,81.455,0.818,2.056
17,MAG,Haas F1 Team,20,57,82.418,82.737,81.009,0.824,1.596
18,OCO,Alpine,31,57,82.732,82.745,81.304,0.61,1.91
19,ZHO,Kick Sauber,24,57,82.706,82.929,81.016,0.759,1.884
20,SAR,Williams,2,57,82.755,82.978,81.229,0.817,1.933
