Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
ZHO,Kick Sauber,12,13.0,SOFT,MEDIUM
LEC,Ferrari,19,20.0,MEDIUM,INTERMEDIATE
OCO,Alpine,19,20.0,SOFT,INTERMEDIATE
PER,Red Bull Racing,19,20.0,HARD,INTERMEDIATE
ZHO,Kick Sauber,19,20.0,MEDIUM,INTERMEDIATE
OCO,Alpine,21,22.0,INTERMEDIATE,MEDIUM
BOT,Kick Sauber,26,27.0,MEDIUM,INTERMEDIATE
HUL,Haas F1 Team,26,27.0,MEDIUM,INTERMEDIATE
OCO,Alpine,26,27.0,MEDIUM,INTERMEDIATE
RIC,RB,26,27.0,MEDIUM,INTERMEDIATE
SAI,Ferrari,26,27.0,MEDIUM,INTERMEDIATE
STR,Aston Martin,26,27.0,MEDIUM,INTERMEDIATE
VER,Red Bull Racing,26,27.0,MEDIUM,INTERMEDIATE
ZHO,Kick Sauber,26,27.0,INTERMEDIATE,INTERMEDIATE
ALB,Williams,27,28.0,MEDIUM,INTERMEDIATE
ALO,Aston Martin,27,28.0,MEDIUM,INTERMEDIATE
HAM,Mercedes,27,28.0,MEDIUM,INTERMEDIATE
LEC,Ferrari,27,28.0,INTERMEDIATE,INTERMEDIATE
MAG,Haas F1 Team,27,28.0,MEDIUM,INTERMEDIATE
NOR,McLaren,27,28.0,MEDIUM,INTERMEDIATE
RUS,Mercedes,27,28.0,MEDIUM,INTERMEDIATE
SAR,Williams,27,28.0,MEDIUM,INTERMEDIATE
TSU,RB,27,28.0,MEDIUM,INTERMEDIATE
PER,Red Bull Racing,28,29.0,INTERMEDIATE,INTERMEDIATE
PIA,McLaren,28,29.0,MEDIUM,INTERMEDIATE
RUS,Mercedes,33,,INTERMEDIATE,
BOT,Kick Sauber,37,38.0,INTERMEDIATE,SOFT
LEC,Ferrari,37,38.0,INTERMEDIATE,SOFT
MAG,Haas F1 Team,37,38.0,INTERMEDIATE,SOFT
PER,Red Bull Racing,37,38.0,INTERMEDIATE,MEDIUM
RIC,RB,37,38.0,INTERMEDIATE,SOFT
ZHO,Kick Sauber,37,38.0,INTERMEDIATE,SOFT
ALB,Williams,38,39.0,INTERMEDIATE,MEDIUM
ALO,Aston Martin,38,39.0,INTERMEDIATE,MEDIUM
HAM,Mercedes,38,39.0,INTERMEDIATE,SOFT
OCO,Alpine,38,39.0,INTERMEDIATE,MEDIUM
PIA,McLaren,38,39.0,INTERMEDIATE,MEDIUM
SAR,Williams,38,39.0,INTERMEDIATE,SOFT
TSU,RB,38,39.0,INTERMEDIATE,SOFT
VER,Red Bull Racing,38,39.0,INTERMEDIATE,HARD
HUL,Haas F1 Team,39,40.0,INTERMEDIATE,SOFT
NOR,McLaren,39,40.0,INTERMEDIATE,SOFT
SAI,Ferrari,39,40.0,INTERMEDIATE,HARD
STR,Aston Martin,39,40.0,INTERMEDIATE,MEDIUM
PER,Red Bull Racing,47,48.0,MEDIUM,SOFT
SAI,Ferrari,50,51.0,HARD,SOFT
