pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,HAM,Mercedes,44,45,93.277,91.635,89.438,4.213,0.021
2,RUS,Mercedes,63,28,93.792,91.69,91.298,3.546,0.536
3,NOR,McLaren,4,45,93.526,91.748,89.262,4.1,0.27
4,PIA,McLaren,81,45,93.256,91.855,88.748,4.389,0.0
5,VER,Red Bull Racing,1,45,93.454,91.904,88.952,4.357,0.198
6,SAI,Ferrari,55,43,94.061,92.359,88.293,4.482,0.805
7,ALO,Aston Martin,14,45,94.308,92.617,89.71,4.526,1.052
8,HUL,Haas F1 Team,27,45,94.47,92.649,89.836,4.49,1.214
9,LEC,Ferrari,16,42,94.965,92.68,89.748,5.25,1.709
10,STR,Aston Martin,18,45,94.465,92.706,89.897,4.632,1.209
11,TSU,RB,22,45,94.729,92.817,90.229,4.426,1.473
12,PER,Red Bull Racing,11,39,96.04,92.942,89.707,5.673,2.784
13,ALB,Williams,23,45,94.411,92.981,89.718,4.609,1.155
14,SAR,Williams,2,45,94.78,93.019,89.972,4.58,1.524
15,MAG,Haas F1 Team,20,45,94.61,93.11,90.093,4.492,1.354
16,RIC,RB,3,44,95.208,93.258,90.735,4.356,1.952
17,BOT,Kick Sauber,77,45,95.919,93.787,91.277,4.458,2.663
18,OCO,Alpine,31,39,95.918,94.071,90.875,4.341,2.662
19,ZHO,Kick Sauber,24,39,96.739,94.51,91.014,5.482,3.483
