constructor,constructor_id,constructor_nationality,driver_code,driver_id,driver_name,driver_nationality,driver_number,event_id,event_name,fastest_lap_average_speed,fastest_lap_average_speed_units,fastest_lap_lap,fastest_lap_rank,fastest_lap_time,grid_position,laps,milliseconds,points,position,position_text,round,status,time,year
Ferrari,ferrari,Italian,MSC,michael_schumacher,Michael Schumacher,German,1,2002-melbourne,Australian Grand Prix,,,,,,2,58,5736792,10.0,1,1,1,Finished,1:35:36.792,2002
Williams,williams,British,MON,montoya,Juan Pablo Montoya,Colombian,6,2002-melbourne,Australian Grand Prix,,,,,,6,58,5755420,6.0,2,2,1,Finished,+18.628,2002
McLaren,mclaren,British,RAI,raikkonen,Kimi Räikkönen,Finnish,7,2002-melbourne,Australian Grand Prix,,,,,,5,58,5761859,4.0,3,3,1,Finished,+25.067,2002
Jaguar,jaguar,British,,irvine,Eddie Irvine,British,16,2002-melbourne,Australian Grand Prix,,,,,,19,57,,3.0,4,4,1,+1 Lap,,2002
Minardi,minardi,Italian,WEB,webber,Mark Webber,Australian,23,2002-melbourne,Australian Grand Prix,,,,,,18,56,,2.0,5,5,1,+2 Laps,,2002
Toyota,toyota,Japanese,,salo,Mika Salo,Finnish,24,2002-melbourne,Australian Grand Prix,,,,,,14,56,,1.0,6,6,1,+2 Laps,,2002
Minardi,minardi,Italian,,yoong,Alex Yoong,Malaysian,22,2002-melbourne,Australian Grand Prix,,,,,,21,55,,0.0,7,7,1,+3 Laps,,2002
Jaguar,jaguar,British,DLR,rosa,Pedro de la Rosa,Spanish,17,2002-melbourne,Australian Grand Prix,,,,,,20,53,,0.0,8,8,1,+5 Laps,,2002
McLaren,mclaren,British,COU,coulthard,David Coulthard,British,3,2002-melbourne,Australian Grand Prix,,,,,,4,33,,0.0,9,R,1,Gearbox,,2002
BAR,bar,British,VIL,villeneuve,Jacques Villeneuve,Canadian,11,2002-melbourne,Australian Grand Prix,,,,,,13,27,,0.0,10,R,1,Broken wing,,2002
Arrows,arrows,British,,frentzen,Heinz-Harald Frentzen,German,20,2002-melbourne,Australian Grand Prix,,,,,,15,16,,0.0,11,D,1,Disqualified,,2002
Arrows,arrows,British,,bernoldi,Enrique Bernoldi,Brazilian,21,2002-melbourne,Australian Grand Prix,,,,,,17,15,,0.0,12,D,1,Disqualified,,2002
Jordan,jordan,Irish,SAT,sato,Takuma Sato,Japanese,10,2002-melbourne,Australian Grand Prix,,,,,,22,12,,0.0,13,R,1,Electrical,,2002
Renault,renault,French,TRU,trulli,Jarno Trulli,Italian,14,2002-melbourne,Australian Grand Prix,,,,,,7,8,,0.0,14,R,1,Spun off,,2002
Ferrari,ferrari,Italian,BAR,barrichello,Rubens Barrichello,Brazilian,2,2002-melbourne,Australian Grand Prix,,,,,,1,0,,0.0,15,R,1,Collision,,2002
Williams,williams,British,SCH,ralf_schumacher,Ralf Schumacher,German,5,2002-melbourne,Australian Grand Prix,,,,,,3,0,,0.0,16,R,1,Collision,,2002
Jordan,jordan,Irish,FIS,fisichella,Giancarlo Fisichella,Italian,9,2002-melbourne,Australian Grand Prix,,,,,,8,0,,0.0,17,R,1,Collision,,2002
Sauber,sauber,Swiss,MAS,massa,Felipe Massa,Brazilian,19,2002-melbourne,Australian Grand Prix,,,,,,9,0,,0.0,18,R,1,Collision,,2002
Sauber,sauber,Swiss,HEI,heidfeld,Nick Heidfeld,German,7,2002-melbourne,Australian Grand Prix,,,,,,10,0,,0.0,19,R,1,Collision,,2002
Renault,renault,French,BUT,button,Jenson Button,British,22,2002-melbourne,Australian Grand Prix,,,,,,11,0,,0.0,20,R,1,Collision,,2002
BAR,bar,British,,panis,Olivier Panis,French,12,2002-melbourne,Australian Grand Prix,,,,,,12,0,,0.0,21,R,1,Collision,,2002
Toyota,toyota,Japanese,,mcnish,Allan McNish,British,25,2002-melbourne,Australian Grand Prix,,,,,,16,0,,0.0,22,R,1,Collision,,2002
Williams,williams,British,SCH,ralf_schumacher,Ralf Schumacher,German,5,2002-kuala-lumpur,Malaysian Grand Prix,,,,,,4,56,5652912,10.0,1,1,2,Finished,1:34:12.912,2002
Williams,williams,British,MON,montoya,Juan Pablo Montoya,Colombian,6,2002-kuala-lumpur,Malaysian Grand Prix,,,,,,2,56,5692612,6.0,2,2,2,Finished,+39.700,2002
Ferrari,ferrari,Italian,MSC,michael_schumacher,Michael Schumacher,German,1,2002-kuala-lumpur,Malaysian Grand Prix,,,,,,1,56,5714707,4.0,3,3,2,Finished,+1:01.795,2002
Renault,renault,French,BUT,button,Jenson Button,British,22,2002-kuala-lumpur,Malaysian Grand Prix,,,,,,8,56,5722679,3.0,4,4,2,Finished,+1:09.767,2002
Sauber,sauber,Swiss,HEI,heidfeld,Nick Heidfeld,German,7,2002-kuala-lumpur,Malaysian Grand Prix,,,,,,7,55,,2.0,5,5,2,+1 Lap,,2002
Sauber,sauber,Swiss,MAS,massa,Felipe Massa,Brazilian,19,2002-kuala-lumpur,Malaysian Grand Prix,,,,,,14,55,,1.0,6,6,2,+1 Lap,,2002
Toyota,toyota,Japanese,,mcnish,Allan McNish,British,25,2002-kuala-lumpur,Malaysian Grand Prix,,,,,,19,55,,0.0,7,7,2,+1 Lap,,2002
BAR,bar,British,VIL,villeneuve,Jacques Villeneuve,Canadian,11,2002-kuala-lumpur,Malaysian Grand Prix,,,,,,13,55,,0.0,8,8,2,+1 Lap,,2002
Jordan,jordan,Irish,SAT,sato,Takuma Sato,Japanese,10,2002-kuala-lumpur,Malaysian Grand Prix,,,,,,15,54,,0.0,9,9,2,+2 Laps,,2002
Jaguar,jaguar,British,DLR,rosa,Pedro de la Rosa,Spanish,17,2002-kuala-lumpur,Malaysian Grand Prix,,,,,,17,54,,0.0,10,10,2,+2 Laps,,2002
Arrows,arrows,British,,frentzen,Heinz-Harald Frentzen,German,20,2002-kuala-lumpur,Malaysian Grand Prix,,,,,,11,54,,0.0,11,11,2,+2 Laps,,2002
Toyota,toyota,Japanese,,salo,Mika Salo,Finnish,24,2002-kuala-lumpur,Malaysian Grand Prix,,,,,,10,53,,0.0,12,12,2,+3 Laps,,2002
Jordan,jordan,Irish,FIS,fisichella,Giancarlo Fisichella,Italian,9,2002-kuala-lumpur,Malaysian Grand Prix,,,,,,9,53,,0.0,13,13,2,+3 Laps,,2002
Ferrari,ferrari,Italian,BAR,barrichello,Rubens Barrichello,Brazilian,2,2002-kuala-lumpur,Malaysian Grand Prix,,,,,,3,39,,0.0,14,R,2,Engine,,2002
Minardi,minardi,Italian,WEB,webber,Mark Webber,Australian,23,2002-kuala-lumpur,Malaysian Grand Prix,,,,,,21,34,,0.0,15,R,2,Electrical,,2002
Jaguar,jaguar,British,,irvine,Eddie Irvine,British,16,2002-kuala-lumpur,Malaysian Grand Prix,,,,,,20,30,,0.0,16,R,2,Hydraulics,,2002
Minardi,minardi,Italian,,yoong,Alex Yoong,Malaysian,22,2002-kuala-lumpur,Malaysian Grand Prix,,,,,,22,29,,0.0,17,R,2,Gearbox,,2002
McLaren,mclaren,British,RAI,raikkonen,Kimi Räikkönen,Finnish,7,2002-kuala-lumpur,Malaysian Grand Prix,,,,,,5,24,,0.0,18,R,2,Engine,,2002
Arrows,arrows,British,,bernoldi,Enrique Bernoldi,Brazilian,21,2002-kuala-lumpur,Malaysian Grand Prix,,,,,,16,20,,0.0,19,R,2,Fuel,,2002
McLaren,mclaren,British,COU,coulthard,David Coulthard,British,3,2002-kuala-lumpur,Malaysian Grand Prix,,,,,,6,15,,0.0,20,R,2,Engine,,2002
BAR,bar,British,,panis,Olivier Panis,French,12,2002-kuala-lumpur,Malaysian Grand Prix,,,,,,18,9,,0.0,21,R,2,Clutch,,2002
Renault,renault,French,TRU,trulli,Jarno Trulli,Italian,14,2002-kuala-lumpur,Malaysian Grand Prix,,,,,,12,9,,0.0,22,R,2,Overheating,,2002
Ferrari,ferrari,Italian,MSC,michael_schumacher,Michael Schumacher,German,1,2002-s-o-paulo,Brazilian Grand Prix,,,,,,2,71,5503662,10.0,1,1,3,Finished,1:31:43.662,2002
Williams,williams,British,SCH,ralf_schumacher,Ralf Schumacher,German,5,2002-s-o-paulo,Brazilian Grand Prix,,,,,,3,71,5504250,6.0,2,2,3,Finished,+0.588,2002
McLaren,mclaren,British,COU,coulthard,David Coulthard,British,3,2002-s-o-paulo,Brazilian Grand Prix,,,,,,4,71,5562771,4.0,3,3,3,Finished,+59.109,2002
Renault,renault,French,BUT,button,Jenson Button,British,22,2002-s-o-paulo,Brazilian Grand Prix,,,,,,7,71,5570545,3.0,4,4,3,Finished,+1:06.883,2002
Williams,williams,British,MON,montoya,Juan Pablo Montoya,Colombian,6,2002-s-o-paulo,Brazilian Grand Prix,,,,,,1,71,5571225,2.0,5,5,3,Finished,+1:07.563,2002
Toyota,toyota,Japanese,,salo,Mika Salo,Finnish,24,2002-s-o-paulo,Brazilian Grand Prix,,,,,,10,70,,1.0,6,6,3,+1 Lap,,2002
Jaguar,jaguar,British,,irvine,Eddie Irvine,British,16,2002-s-o-paulo,Brazilian Grand Prix,,,,,,13,70,,0.0,7,7,3,+1 Lap,,2002
Jaguar,jaguar,British,DLR,rosa,Pedro de la Rosa,Spanish,17,2002-s-o-paulo,Brazilian Grand Prix,,,,,,11,70,,0.0,8,8,3,+1 Lap,,2002
Jordan,jordan,Irish,SAT,sato,Takuma Sato,Japanese,10,2002-s-o-paulo,Brazilian Grand Prix,,,,,,19,69,,0.0,9,9,3,+2 Laps,,2002
BAR,bar,British,VIL,villeneuve,Jacques Villeneuve,Canadian,11,2002-s-o-paulo,Brazilian Grand Prix,,,,,,15,68,,0.0,10,10,3,Engine,,2002
Minardi,minardi,Italian,WEB,webber,Mark Webber,Australian,23,2002-s-o-paulo,Brazilian Grand Prix,,,,,,20,68,,0.0,11,11,3,+3 Laps,,2002
McLaren,mclaren,British,RAI,raikkonen,Kimi Räikkönen,Finnish,7,2002-s-o-paulo,Brazilian Grand Prix,,,,,,5,67,,0.0,12,12,3,Wheel rim,,2002
Minardi,minardi,Italian,,yoong,Alex Yoong,Malaysian,22,2002-s-o-paulo,Brazilian Grand Prix,,,,,,22,67,,0.0,13,13,3,+4 Laps,,2002
Sauber,sauber,Swiss,HEI,heidfeld,Nick Heidfeld,German,7,2002-s-o-paulo,Brazilian Grand Prix,,,,,,9,61,,0.0,14,R,3,Brakes,,2002
Renault,renault,French,TRU,trulli,Jarno Trulli,Italian,14,2002-s-o-paulo,Brazilian Grand Prix,,,,,,6,60,,0.0,15,R,3,Engine,,2002
Sauber,sauber,Swiss,MAS,massa,Felipe Massa,Brazilian,19,2002-s-o-paulo,Brazilian Grand Prix,,,,,,12,41,,0.0,16,R,3,Collision,,2002
Toyota,toyota,Japanese,,mcnish,Allan McNish,British,25,2002-s-o-paulo,Brazilian Grand Prix,,,,,,16,40,,0.0,17,R,3,Spun off,,2002
BAR,bar,British,,panis,Olivier Panis,French,12,2002-s-o-paulo,Brazilian Grand Prix,,,,,,17,25,,0.0,18,R,3,Gearbox,,2002
Arrows,arrows,British,,frentzen,Heinz-Harald Frentzen,German,20,2002-s-o-paulo,Brazilian Grand Prix,,,,,,18,25,,0.0,19,R,3,Suspension,,2002
Arrows,arrows,British,,bernoldi,Enrique Bernoldi,Brazilian,21,2002-s-o-paulo,Brazilian Grand Prix,,,,,,21,19,,0.0,20,R,3,Suspension,,2002
Ferrari,ferrari,Italian,BAR,barrichello,Rubens Barrichello,Brazilian,2,2002-s-o-paulo,Brazilian Grand Prix,,,,,,8,16,,0.0,21,R,3,Hydraulics,,2002
Jordan,jordan,Irish,FIS,fisichella,Giancarlo Fisichella,Italian,9,2002-s-o-paulo,Brazilian Grand Prix,,,,,,14,6,,0.0,22,R,3,Engine,,2002
Ferrari,ferrari,Italian,MSC,michael_schumacher,Michael Schumacher,German,1,2002-imola,San Marino Grand Prix,,,,,,1,62,5350789,10.0,1,1,4,Finished,1:29:10.789,2002
Ferrari,ferrari,Italian,BAR,barrichello,Rubens Barrichello,Brazilian,2,2002-imola,San Marino Grand Prix,,,,,,2,62,5368696,6.0,2,2,4,Finished,+17.907,2002
