constructor,constructor_id,constructor_nationality,constructor_url,points,position,position_text,wins,year
McLaren,mclaren,British,https://en.wikipedia.org/wiki/McLaren,156.0,1,1,9,1998
Ferrari,ferrari,Italian,https://en.wikipedia.org/wiki/Scuderia_Ferrari,133.0,2,2,6,1998
Williams,williams,British,https://en.wikipedia.org/wiki/Williams_Racing,38.0,3,3,0,1998
Jordan,jordan,Irish,https://en.wikipedia.org/wiki/Jordan_Grand_Prix,34.0,4,4,1,1998
Benetton,benetton,Italian,https://en.wikipedia.org/wiki/Benetton_Formula,33.0,5,5,0,1998
Sauber,sauber,Swiss,https://en.wikipedia.org/wiki/Sauber_Motorsport,10.0,6,6,0,1998
Arrows,arrows,British,https://en.wikipedia.org/wiki/Arrows_Grand_Prix_International,6.0,7,7,0,1998
Stewart,stewart,British,https://en.wikipedia.org/wiki/Stewart_Grand_Prix,5.0,8,8,0,1998
Prost,prost,French,https://en.wikipedia.org/wiki/Prost_Grand_Prix,1.0,9,9,0,1998
Minardi,minardi,Italian,https://en.wikipedia.org/wiki/Minardi,0.0,,-,0,1998
Tyrrell,tyrrell,British,https://en.wikipedia.org/wiki/Tyrrell_Racing,0.0,,-,0,1998
