pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,VET,Ferrari,5,48,96.526,96.354,94.895,0.887,0.038
2,VER,Red Bull Racing,33,50,96.964,96.729,95.311,1.123,0.476
3,BOT,Mercedes,77,50,96.847,96.782,94.209,1.099,0.359
4,HAM,Mercedes,44,49,96.488,96.802,93.528,1.119,0.0
5,LEC,Ferrari,16,50,97.029,96.819,93.411,2.045,0.541
6,HUL,Renault,27,46,97.432,97.33,95.215,0.892,0.944
7,RAI,Alfa Romeo Racing,7,50,97.714,97.397,95.589,1.382,1.226
8,NOR,McLaren,4,50,97.762,97.66,95.777,1.569,1.274
9,SAI,McLaren,55,43,97.612,97.697,95.586,1.109,1.124
10,ALB,Toro Rosso,23,50,98.253,97.75,96.752,1.899,1.765
11,GAS,Red Bull Racing,10,50,97.747,97.992,95.291,1.701,1.259
12,RIC,Renault,3,48,98.114,98.044,96.697,0.697,1.626
13,PER,Racing Point,11,50,98.292,98.108,96.33,2.106,1.804
14,KVY,Toro Rosso,26,49,97.981,98.177,94.934,1.9,1.493
15,STR,Racing Point,18,49,98.448,98.35,97.037,0.723,1.96
16,GIO,Alfa Romeo Racing,99,50,98.417,98.477,95.237,2.389,1.929
17,GRO,Haas F1 Team,8,12,98.462,98.534,97.262,0.471,1.974
18,MAG,Haas F1 Team,20,49,98.648,98.828,95.892,1.481,2.16
19,RUS,Williams,63,49,99.78,99.575,97.313,1.727,3.292
20,KUB,Williams,88,48,100.298,99.895,97.903,1.632,3.81
