constructor,constructor_id,constructor_nationality,constructor_url,points,position,position_text,wins,year
Red Bull,red_bull,Austrian,https://en.wikipedia.org/wiki/Red_Bull_Racing,460.0,1,1,7,2012
Ferrari,ferrari,Italian,https://en.wikipedia.org/wiki/Scuderia_Ferrari,400.0,2,2,3,2012
McLaren,mclaren,British,https://en.wikipedia.org/wiki/McLaren,378.0,3,3,7,2012
Lotus F1,lotus_f1,British,https://en.wikipedia.org/wiki/Lotus_F1,303.0,4,4,1,2012
Mercedes,mercedes,German,https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,142.0,5,5,1,2012
Sauber,sauber,Swiss,https://en.wikipedia.org/wiki/Sauber_Motorsport,126.0,6,6,0,2012
Force India,force_india,Indian,https://en.wikipedia.org/wiki/Racing_Point_Force_India,109.0,7,7,0,2012
Williams,williams,British,https://en.wikipedia.org/wiki/Williams_Racing,76.0,8,8,1,2012
Toro Rosso,toro_rosso,Italian,https://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,26.0,9,9,0,2012
Caterham,caterham,Malaysian,https://en.wikipedia.org/wiki/Caterham_F1,0.0,10,10,0,2012
Marussia,marussia,Russian,https://en.wikipedia.org/wiki/Marussia_F1,0.0,11,11,0,2012
HRT,hrt,Spanish,https://en.wikipedia.org/wiki/HRT_Formula_1_Team,0.0,12,12,0,2012
