constructor,constructor_id,constructor_nationality,driver_code,driver_id,driver_name,driver_nationality,driver_number,event_id,event_name,fastest_lap_average_speed,fastest_lap_average_speed_units,fastest_lap_lap,fastest_lap_rank,fastest_lap_time,grid_position,laps,milliseconds,points,position,position_text,round,status,time,year
Tyrrell,tyrrell,British,,stewart,Jackie Stewart,British,21,1972-buenos-aires,Argentine Grand Prix,,,,,,2,95,7079100,9.0,1,1,1,Finished,1:57:59.100,1972
McLaren,mclaren,British,,hulme,Denny Hulme,New Zealander,17,1972-buenos-aires,Argentine Grand Prix,,,,,,4,95,7105060,6.0,2,2,1,Finished,+25.960,1972
Ferrari,ferrari,Italian,,ickx,Jacky Ickx,Belgian,8,1972-buenos-aires,Argentine Grand Prix,,,,,,8,95,7138490,4.0,3,3,1,Finished,+59.390,1972
Ferrari,ferrari,Italian,,regazzoni,Clay Regazzoni,Swiss,9,1972-buenos-aires,Argentine Grand Prix,,,,,,6,95,7145820,3.0,4,4,1,Finished,+1:06.720,1972
Surtees,surtees,British,,schenken,Tim Schenken,Australian,19,1972-buenos-aires,Argentine Grand Prix,,,,,,11,95,7148210,2.0,5,5,1,Finished,+1:09.110,1972
March,march,British,,peterson,Ronnie Peterson,Swedish,14,1972-buenos-aires,Argentine Grand Prix,,,,,,10,94,,1.0,6,6,1,+1 Lap,,1972
Brabham,brabham,British,,reutemann,Carlos Reutemann,Argentine,2,1972-buenos-aires,Argentine Grand Prix,,,,,,1,93,,0.0,7,7,1,+2 Laps,,1972
March,march,British,,pescarolo,Henri Pescarolo,French,23,1972-buenos-aires,Argentine Grand Prix,,,,,,15,93,,0.0,8,8,1,+2 Laps,,1972
BRM,brm,British,,ganley,Howden Ganley,New Zealander,3,1972-buenos-aires,Argentine Grand Prix,,,,,,13,93,,0.0,9,9,1,+2 Laps,,1972
BRM,brm,British,,marko,Helmut Marko,Austrian,7,1972-buenos-aires,Argentine Grand Prix,,,,,,19,93,,0.0,10,10,1,+2 Laps,,1972
March,march,British,,lauda,Niki Lauda,Austrian,15,1972-buenos-aires,Argentine Grand Prix,,,,,,22,93,,0.0,11,11,1,+2 Laps,,1972
Team Lotus,team_lotus,British,,emerson_fittipaldi,Emerson Fittipaldi,Brazilian,11,1972-buenos-aires,Argentine Grand Prix,,,,,,5,61,,0.0,12,R,1,Suspension,,1972
Tyrrell,tyrrell,British,,cevert,François Cevert,French,22,1972-buenos-aires,Argentine Grand Prix,,,,,,17,59,,0.0,13,R,1,Gearbox,,1972
BRM,brm,British,,wisell,Reine Wisell,Swedish,4,1972-buenos-aires,Argentine Grand Prix,,,,,,7,59,,0.0,14,R,1,Water leak,,1972
McLaren,mclaren,British,,revson,Peter Revson,American,18,1972-buenos-aires,Argentine Grand Prix,,,,,,3,49,,0.0,15,R,1,Engine,,1972
Ferrari,ferrari,Italian,,mario_andretti,Mario Andretti,American,10,1972-buenos-aires,Argentine Grand Prix,,,,,,9,20,,0.0,16,R,1,Engine,,1972
Surtees,surtees,British,,adamich,Andrea de Adamich,Italian,20,1972-buenos-aires,Argentine Grand Prix,,,,,,14,11,,0.0,17,R,1,Fuel system,,1972
Brabham,brabham,British,,hill,Graham Hill,British,1,1972-buenos-aires,Argentine Grand Prix,,,,,,16,11,,0.0,18,R,1,Fuel pump,,1972
Team Lotus,team_lotus,British,,walker,David Walker,Australian,12,1972-buenos-aires,Argentine Grand Prix,,,,,,20,8,,0.0,19,D,1,Disqualified,,1972
BRM,brm,British,,gethin,Peter Gethin,British,5,1972-buenos-aires,Argentine Grand Prix,,,,,,18,1,,0.0,20,R,1,Oil leak,,1972
BRM,brm,British,,roig,Alex Soler-Roig,Spanish,6,1972-buenos-aires,Argentine Grand Prix,,,,,,21,1,,0.0,21,R,1,Accident,,1972
Matra,matra,French,,amon,Chris Amon,New Zealander,16,1972-buenos-aires,Argentine Grand Prix,,,,,,12,0,,0.0,22,W,1,Withdrew,,1972
McLaren,mclaren,British,,hulme,Denny Hulme,New Zealander,12,1972-midrand,South African Grand Prix,,,,,,5,79,6349100,9.0,1,1,2,Finished,1:45:49.100,1972
Team Lotus,team_lotus,British,,emerson_fittipaldi,Emerson Fittipaldi,Brazilian,8,1972-midrand,South African Grand Prix,,,,,,3,79,6363200,6.0,2,2,2,Finished,+14.100,1972
McLaren,mclaren,British,,revson,Peter Revson,American,14,1972-midrand,South African Grand Prix,,,,,,12,79,6374900,4.0,3,3,2,Finished,+25.800,1972
Ferrari,ferrari,Italian,,mario_andretti,Mario Andretti,American,7,1972-midrand,South African Grand Prix,,,,,,6,79,6387600,3.0,4,4,2,Finished,+38.500,1972
March,march,British,,peterson,Ronnie Peterson,Swedish,3,1972-midrand,South African Grand Prix,,,,,,9,79,6398100,2.0,5,5,2,Finished,+49.000,1972
Brabham,brabham,British,,hill,Graham Hill,British,19,1972-midrand,South African Grand Prix,,,,,,14,78,,1.0,6,6,2,+1 Lap,,1972
March,march,British,,lauda,Niki Lauda,Austrian,4,1972-midrand,South African Grand Prix,,,,,,21,78,,0.0,7,7,2,+1 Lap,,1972
