Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
HAD,Red Bull Racing,1,2.0,SOFT,HARD
LAW,Racing Bulls,9,10.0,MEDIUM,HARD
SAI,Williams,9,10.0,MEDIUM,HARD
VER,Red Bull Racing,9,10.0,SOFT,HARD
ANT,Mercedes,10,12.0,MEDIUM,HARD
BEA,Haas F1 Team,10,12.0,MEDIUM,HARD
BOT,Cadillac,10,12.0,MEDIUM,HARD
GAS,Alpine,10,13.0,MEDIUM,HARD
HAD,Red Bull Racing,10,12.0,HARD,HARD
HAM,Ferrari,10,13.0,MEDIUM,HARD
LEC,Ferrari,10,13.0,MEDIUM,HARD
RUS,Mercedes,10,12.0,MEDIUM,HARD
PER,Cadillac,11,12.0,MEDIUM,HARD
OCO,Haas F1 Team,29,30.0,HARD,MEDIUM
ALO,Aston Martin,31,32.0,HARD,MEDIUM
ALO,Aston Martin,32,,MEDIUM,
COL,Alpine,32,33.0,HARD,MEDIUM
HUL,Audi,35,36.0,HARD,MEDIUM
LIN,Racing Bulls,42,43.0,HARD,MEDIUM
OCO,Haas F1 Team,46,47.0,MEDIUM,SOFT
