pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,RUS,Mercedes,63,51,96.566,96.407,95.4,1.029,0.122
2,ANT,Mercedes,12,50,96.444,96.412,95.275,0.774,0.0
3,LEC,Ferrari,16,50,97.056,96.823,96.011,0.728,0.612
4,HAM,Ferrari,44,50,97.024,96.824,96.092,0.808,0.58
5,BEA,Haas F1 Team,87,51,97.854,97.496,96.429,1.007,1.41
6,GAS,Alpine,10,50,97.7,97.575,96.505,0.904,1.256
7,VER,Red Bull Racing,3,39,98.35,97.76,97.046,1.815,1.906
8,HAD,Red Bull Racing,6,49,98.204,98.039,97.311,0.543,1.76
9,LAW,Racing Bulls,30,51,98.426,98.084,97.096,1.403,1.982
10,COL,Alpine,43,49,98.418,98.384,96.783,1.353,1.974
11,HUL,Audi,27,49,98.517,98.394,96.18,1.857,2.073
12,OCO,Haas F1 Team,31,48,98.954,98.572,95.964,2.921,2.51
13,SAI,Williams,55,50,99.093,98.726,97.981,1.419,2.649
14,LIN,Racing Bulls,41,50,99.146,98.818,96.099,3.101,2.702
15,BOT,Cadillac,77,50,100.005,99.813,98.393,0.761,3.561
16,PER,Cadillac,11,50,100.344,100.007,98.523,1.558,3.9
17,ALO,Aston Martin,14,28,102.889,100.417,99.721,7.465,6.445
18,STR,Aston Martin,18,8,101.307,101.083,100.883,0.439,4.863
