constructor,constructor_id,constructor_nationality,driver_code,driver_id,driver_name,driver_nationality,driver_number,event_id,event_name,position,q1,q2,q3,round,year
McLaren,mclaren,British,HAM,hamilton,Lewis Hamilton,British,44,2008-melbourne,Australian Grand Prix,1,1:26.572,1:25.187,1:26.714,1,2008
BMW Sauber,bmw_sauber,German,KUB,kubica,Robert Kubica,Polish,88,2008-melbourne,Australian Grand Prix,2,1:26.103,1:25.315,1:26.869,1,2008
McLaren,mclaren,British,KOV,kovalainen,Heikki Kovalainen,Finnish,23,2008-melbourne,Australian Grand Prix,3,1:25.664,1:25.452,1:27.079,1,2008
Ferrari,ferrari,Italian,MAS,massa,Felipe Massa,Brazilian,19,2008-melbourne,Australian Grand Prix,4,1:25.994,1:25.691,1:27.178,1,2008
BMW Sauber,bmw_sauber,German,HEI,heidfeld,Nick Heidfeld,German,3,2008-melbourne,Australian Grand Prix,5,1:25.960,1:25.518,1:27.236,1,2008
Toyota,toyota,Japanese,TRU,trulli,Jarno Trulli,Italian,11,2008-melbourne,Australian Grand Prix,6,1:26.427,1:26.101,1:28.527,1,2008
Williams,williams,British,ROS,rosberg,Nico Rosberg,German,6,2008-melbourne,Australian Grand Prix,7,1:26.295,1:26.059,1:28.687,1,2008
Red Bull,red_bull,Austrian,COU,coulthard,David Coulthard,British,9,2008-melbourne,Australian Grand Prix,8,1:26.381,1:26.063,1:29.041,1,2008
Toyota,toyota,Japanese,GLO,glock,Timo Glock,German,12,2008-melbourne,Australian Grand Prix,9,1:26.919,1:26.164,1:29.593,1,2008
Toro Rosso,toro_rosso,Italian,VET,vettel,Sebastian Vettel,German,5,2008-melbourne,Australian Grand Prix,10,1:26.702,1:25.842,,1,2008
Honda,honda,Japanese,BAR,barrichello,Rubens Barrichello,Brazilian,17,2008-melbourne,Australian Grand Prix,11,1:26.369,1:26.173,,1,2008
Renault,renault,French,ALO,alonso,Fernando Alonso,Spanish,14,2008-melbourne,Australian Grand Prix,12,1:26.907,1:26.188,,1,2008
Honda,honda,Japanese,BUT,button,Jenson Button,British,22,2008-melbourne,Australian Grand Prix,13,1:26.712,1:26.259,,1,2008
Williams,williams,British,NAK,nakajima,Kazuki Nakajima,Japanese,8,2008-melbourne,Australian Grand Prix,14,1:26.891,1:26.413,,1,2008
Red Bull,red_bull,Austrian,WEB,webber,Mark Webber,Australian,10,2008-melbourne,Australian Grand Prix,15,1:26.914,,,1,2008
Ferrari,ferrari,Italian,RAI,raikkonen,Kimi Räikkönen,Finnish,7,2008-melbourne,Australian Grand Prix,16,1:26.140,,,1,2008
Force India,force_india,Indian,FIS,fisichella,Giancarlo Fisichella,Italian,21,2008-melbourne,Australian Grand Prix,17,1:27.207,,,1,2008
Toro Rosso,toro_rosso,Italian,BOU,bourdais,Sébastien Bourdais,French,14,2008-melbourne,Australian Grand Prix,18,1:27.446,,,1,2008
Force India,force_india,Indian,SUT,sutil,Adrian Sutil,German,99,2008-melbourne,Australian Grand Prix,19,1:27.859,,,1,2008
Super Aguri,super_aguri,Japanese,SAT,sato,Takuma Sato,Japanese,18,2008-melbourne,Australian Grand Prix,20,1:28.208,,,1,2008
Renault,renault,French,PIQ,piquet_jr,Nelson Piquet Jr.,Brazilian,6,2008-melbourne,Australian Grand Prix,21,1:28.330,,,1,2008
Super Aguri,super_aguri,Japanese,DAV,davidson,Anthony Davidson,British,19,2008-melbourne,Australian Grand Prix,22,1:29.059,,,1,2008
Ferrari,ferrari,Italian,MAS,massa,Felipe Massa,Brazilian,19,2008-kuala-lumpur,Malaysian Grand Prix,1,1:35.347,1:34.412,1:35.748,2,2008
Ferrari,ferrari,Italian,RAI,raikkonen,Kimi Räikkönen,Finnish,7,2008-kuala-lumpur,Malaysian Grand Prix,2,1:35.645,1:34.188,1:36.230,2,2008
McLaren,mclaren,British,KOV,kovalainen,Heikki Kovalainen,Finnish,23,2008-kuala-lumpur,Malaysian Grand Prix,3,1:35.227,1:34.759,1:36.613,2,2008
McLaren,mclaren,British,HAM,hamilton,Lewis Hamilton,British,44,2008-kuala-lumpur,Malaysian Grand Prix,4,1:35.392,1:34.627,1:36.709,2,2008
Toyota,toyota,Japanese,TRU,trulli,Jarno Trulli,Italian,11,2008-kuala-lumpur,Malaysian Grand Prix,5,1:35.205,1:34.960,1:36.711,2,2008
BMW Sauber,bmw_sauber,German,KUB,kubica,Robert Kubica,Polish,88,2008-kuala-lumpur,Malaysian Grand Prix,6,1:35.794,1:34.811,1:36.727,2,2008
BMW Sauber,bmw_sauber,German,HEI,heidfeld,Nick Heidfeld,German,3,2008-kuala-lumpur,Malaysian Grand Prix,7,1:35.729,1:34.648,1:36.753,2,2008
Red Bull,red_bull,Austrian,WEB,webber,Mark Webber,Australian,10,2008-kuala-lumpur,Malaysian Grand Prix,8,1:35.440,1:34.967,1:37.009,2,2008
Renault,renault,French,ALO,alonso,Fernando Alonso,Spanish,14,2008-kuala-lumpur,Malaysian Grand Prix,9,1:35.983,1:35.140,1:38.450,2,2008
Toyota,toyota,Japanese,GLO,glock,Timo Glock,German,12,2008-kuala-lumpur,Malaysian Grand Prix,10,1:35.891,1:35.000,1:39.656,2,2008
Honda,honda,Japanese,BUT,button,Jenson Button,British,22,2008-kuala-lumpur,Malaysian Grand Prix,11,1:35.847,1:35.208,,2,2008
Red Bull,red_bull,Austrian,COU,coulthard,David Coulthard,British,9,2008-kuala-lumpur,Malaysian Grand Prix,12,1:36.058,1:35.408,,2,2008
Renault,renault,French,PIQ,piquet_jr,Nelson Piquet Jr.,Brazilian,6,2008-kuala-lumpur,Malaysian Grand Prix,13,1:36.074,1:35.562,,2,2008
Honda,honda,Japanese,BAR,barrichello,Rubens Barrichello,Brazilian,17,2008-kuala-lumpur,Malaysian Grand Prix,14,1:36.198,1:35.622,,2,2008
Toro Rosso,toro_rosso,Italian,VET,vettel,Sebastian Vettel,German,5,2008-kuala-lumpur,Malaysian Grand Prix,15,1:36.111,1:35.648,,2,2008
