circuit_id,circuit_name,circuit_url,country,date,event_id,event_name,event_slug,latitude,locality,longitude,round,season,time,url,year
galvez,Autódromo Juan y Oscar Gálvez,https://en.wikipedia.org/wiki/Autódromo_Oscar_y_Juan_Gálvez,Argentina,1974-01-13,1974-buenos-aires,Argentine Grand Prix,buenos-aires,-34.6943,Buenos Aires,-58.4593,1,1974,,https://en.wikipedia.org/wiki/1974_Argentine_Grand_Prix,1974
interlagos,Autódromo José Carlos Pace,https://en.wikipedia.org/wiki/Interlagos_Circuit,Brazil,1974-01-27,1974-s-o-paulo,Brazilian Grand Prix,s-o-paulo,-23.7036,São Paulo,-46.6997,2,1974,,https://en.wikipedia.org/wiki/1974_Brazilian_Grand_Prix,1974
kyalami,Kyalami,https://en.wikipedia.org/wiki/Kyalami,South Africa,1974-03-30,1974-midrand,South African Grand Prix,midrand,-25.9894,Midrand,28.0767,3,1974,,https://en.wikipedia.org/wiki/1974_South_African_Grand_Prix,1974
jarama,Jarama,https://en.wikipedia.org/wiki/Circuito_del_Jarama,Spain,1974-04-28,1974-madrid,Spanish Grand Prix,madrid,40.6171,Madrid,-3.58558,4,1974,,https://en.wikipedia.org/wiki/1974_Spanish_Grand_Prix,1974
nivelles,Nivelles-Baulers,https://en.wikipedia.org/wiki/Nivelles-Baulers,Belgium,1974-05-12,1974-brussels,Belgian Grand Prix,brussels,50.6211,Brussels,4.32694,5,1974,,https://en.wikipedia.org/wiki/1974_Belgian_Grand_Prix,1974
monaco,Circuit de Monaco,https://en.wikipedia.org/wiki/Circuit_de_Monaco,Monaco,1974-05-26,1974-monte-carlo,Monaco Grand Prix,monte-carlo,43.7347,Monte Carlo,7.42056,6,1974,,https://en.wikipedia.org/wiki/1974_Monaco_Grand_Prix,1974
anderstorp,Scandinavian Raceway,https://en.wikipedia.org/wiki/Anderstorp_Raceway,Sweden,1974-06-09,1974-anderstorp,Swedish Grand Prix,anderstorp,57.2653,Anderstorp,13.6042,7,1974,,https://en.wikipedia.org/wiki/1974_Swedish_Grand_Prix,1974
zandvoort,Circuit Park Zandvoort,https://en.wikipedia.org/wiki/Circuit_Zandvoort,Netherlands,1974-06-23,1974-zandvoort,Dutch Grand Prix,zandvoort,52.3888,Zandvoort,4.54092,8,1974,,https://en.wikipedia.org/wiki/1974_Dutch_Grand_Prix,1974
dijon,Dijon-Prenois,https://en.wikipedia.org/wiki/Dijon-Prenois,France,1974-07-07,1974-dijon,French Grand Prix,dijon,47.3625,Dijon,4.89913,9,1974,,https://en.wikipedia.org/wiki/1974_French_Grand_Prix,1974
brands_hatch,Brands Hatch,https://en.wikipedia.org/wiki/Brands_Hatch,UK,1974-07-20,1974-kent,British Grand Prix,kent,51.3569,Kent,0.263056,10,1974,,https://en.wikipedia.org/wiki/1974_British_Grand_Prix,1974
nurburgring,Nürburgring,https://en.wikipedia.org/wiki/N%C3%BCrburgring,Germany,1974-08-04,1974-n-rburg,German Grand Prix,n-rburg,50.3356,Nürburg,6.9475,11,1974,,https://en.wikipedia.org/wiki/1974_German_Grand_Prix,1974
red_bull_ring,Red Bull Ring,https://en.wikipedia.org/wiki/Red_Bull_Ring,Austria,1974-08-18,1974-spielberg,Austrian Grand Prix,spielberg,47.2197,Spielberg,14.7647,12,1974,,https://en.wikipedia.org/wiki/1974_Austrian_Grand_Prix,1974
monza,Autodromo Nazionale di Monza,https://en.wikipedia.org/wiki/Monza_Circuit,Italy,1974-09-08,1974-monza,Italian Grand Prix,monza,45.6156,Monza,9.28111,13,1974,,https://en.wikipedia.org/wiki/1974_Italian_Grand_Prix,1974
mosport,Mosport International Raceway,https://en.wikipedia.org/wiki/Canadian_Tire_Motorsport_Park,Canada,1974-09-22,1974-ontario,Canadian Grand Prix,ontario,44.0481,Ontario,-78.6756,14,1974,,https://en.wikipedia.org/wiki/1974_Canadian_Grand_Prix,1974
watkins_glen,Watkins Glen,https://en.wikipedia.org/wiki/Watkins_Glen_International,USA,1974-10-06,1974-new-york-state,United States Grand Prix,new-york-state,42.3369,New York State,-76.9272,15,1974,,https://en.wikipedia.org/wiki/1974_United_States_Grand_Prix,1974
