constructor,constructor_id,constructor_nationality,constructor_url,points,position,position_text,wins,year
Ferrari,ferrari,Italian,https://en.wikipedia.org/wiki/Scuderia_Ferrari,172.0,1,1,8,2008
McLaren,mclaren,British,https://en.wikipedia.org/wiki/McLaren,151.0,2,2,6,2008
BMW Sauber,bmw_sauber,German,https://en.wikipedia.org/wiki/BMW_in_Formula_One,135.0,3,3,1,2008
Renault,renault,French,https://en.wikipedia.org/wiki/Renault_in_Formula_One,80.0,4,4,2,2008
Toyota,toyota,Japanese,https://en.wikipedia.org/wiki/Toyota_Racing,56.0,5,5,0,2008
Toro Rosso,toro_rosso,Italian,https://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,39.0,6,6,1,2008
Red Bull,red_bull,Austrian,https://en.wikipedia.org/wiki/Red_Bull_Racing,29.0,7,7,0,2008
Williams,williams,British,https://en.wikipedia.org/wiki/Williams_Racing,26.0,8,8,0,2008
Honda,honda,Japanese,https://en.wikipedia.org/wiki/Honda_in_Formula_One,14.0,9,9,0,2008
Force India,force_india,Indian,https://en.wikipedia.org/wiki/Racing_Point_Force_India,0.0,10,10,0,2008
Super Aguri,super_aguri,Japanese,https://en.wikipedia.org/wiki/Super_Aguri_F1,0.0,11,11,0,2008
