constructor,constructor_id,constructor_nationality,driver_code,driver_id,driver_name,driver_nationality,driver_number,event_id,event_name,fastest_lap_average_speed,fastest_lap_average_speed_units,fastest_lap_lap,fastest_lap_rank,fastest_lap_time,grid_position,laps,milliseconds,points,position,position_text,round,status,time,year
McLaren,mclaren,British,HAM,hamilton,Lewis Hamilton,British,44,2008-melbourne,Australian Grand Prix,218.3,kph,39,2,1:27.452,1,58,5690616,10.0,1,1,1,Finished,1:34:50.616,2008
BMW Sauber,bmw_sauber,German,HEI,heidfeld,Nick Heidfeld,German,3,2008-melbourne,Australian Grand Prix,217.586,kph,41,3,1:27.739,5,58,5696094,8.0,2,2,1,Finished,+5.478,2008
Williams,williams,British,ROS,rosberg,Nico Rosberg,German,6,2008-melbourne,Australian Grand Prix,216.719,kph,41,5,1:28.090,7,58,5698779,6.0,3,3,1,Finished,+8.163,2008
Renault,renault,French,ALO,alonso,Fernando Alonso,Spanish,14,2008-melbourne,Australian Grand Prix,215.464,kph,58,7,1:28.603,11,58,5707797,5.0,4,4,1,Finished,+17.181,2008
McLaren,mclaren,British,KOV,kovalainen,Heikki Kovalainen,Finnish,23,2008-melbourne,Australian Grand Prix,218.385,kph,43,1,1:27.418,3,58,5708630,4.0,5,5,1,Finished,+18.014,2008
Williams,williams,British,NAK,nakajima,Kazuki Nakajima,Japanese,8,2008-melbourne,Australian Grand Prix,212.974,kph,50,14,1:29.639,13,57,,3.0,6,6,1,+1 Lap,,2008
Toro Rosso,toro_rosso,Italian,BOU,bourdais,Sébastien Bourdais,French,14,2008-melbourne,Australian Grand Prix,213.224,kph,54,8,1:29.534,17,55,,2.0,7,7,1,Engine,,2008
Ferrari,ferrari,Italian,RAI,raikkonen,Kimi Räikkönen,Finnish,7,2008-melbourne,Australian Grand Prix,217.18,kph,20,4,1:27.903,15,53,,1.0,8,8,1,Engine,,2008
BMW Sauber,bmw_sauber,German,KUB,kubica,Robert Kubica,Polish,88,2008-melbourne,Australian Grand Prix,215.1,kph,15,9,1:28.753,2,47,,0.0,9,R,1,Collision,,2008
Toyota,toyota,Japanese,GLO,glock,Timo Glock,German,12,2008-melbourne,Australian Grand Prix,213.166,kph,23,13,1:29.558,18,43,,0.0,10,R,1,Accident,,2008
Super Aguri,super_aguri,Japanese,SAT,sato,Takuma Sato,Japanese,18,2008-melbourne,Australian Grand Prix,210.038,kph,24,15,1:30.892,19,32,,0.0,11,R,1,Transmission,,2008
Renault,renault,French,PIQ,piquet_jr,Nelson Piquet Jr.,Brazilian,6,2008-melbourne,Australian Grand Prix,208.907,kph,20,16,1:31.384,20,30,,0.0,12,R,1,Clutch,,2008
Ferrari,ferrari,Italian,MAS,massa,Felipe Massa,Brazilian,19,2008-melbourne,Australian Grand Prix,216.51,kph,23,6,1:28.175,4,29,,0.0,13,R,1,Engine,,2008
Red Bull,red_bull,Austrian,COU,coulthard,David Coulthard,British,9,2008-melbourne,Australian Grand Prix,213.3,kph,21,11,1:29.502,8,25,,0.0,14,R,1,Collision,,2008
Toyota,toyota,Japanese,TRU,trulli,Jarno Trulli,Italian,11,2008-melbourne,Australian Grand Prix,213.758,kph,18,10,1:29.310,6,19,,0.0,15,R,1,Electrical,,2008
Force India,force_india,Indian,SUT,sutil,Adrian Sutil,German,99,2008-melbourne,Australian Grand Prix,207.461,kph,8,17,1:32.021,22,8,,0.0,16,R,1,Hydraulics,,2008
