constructor,constructor_id,constructor_nationality,driver_code,driver_id,driver_name,driver_nationality,driver_number,event_id,event_name,position,q1,q2,q3,round,year
Renault,renault,French,FIS,fisichella,Giancarlo Fisichella,Italian,6,2005-melbourne,Australian Grand Prix,1,1:33.171,1:28.289,,1,2005
Toyota,toyota,Japanese,TRU,trulli,Jarno Trulli,Italian,16,2005-melbourne,Australian Grand Prix,2,1:35.270,1:29.159,,1,2005
Williams,williams,British,WEB,webber,Mark Webber,Australian,7,2005-melbourne,Australian Grand Prix,3,1:36.717,1:28.279,,1,2005
Sauber,sauber,Swiss,VIL,villeneuve,Jacques Villeneuve,Canadian,11,2005-melbourne,Australian Grand Prix,4,1:36.984,1:29.862,,1,2005
Red Bull,red_bull,Austrian,COU,coulthard,David Coulthard,British,14,2005-melbourne,Australian Grand Prix,5,1:38.320,1:28.892,,1,2005
Red Bull,red_bull,Austrian,KLI,klien,Christian Klien,Austrian,15,2005-melbourne,Australian Grand Prix,6,1:37.486,1:29.991,,1,2005
Williams,williams,British,HEI,heidfeld,Nick Heidfeld,German,8,2005-melbourne,Australian Grand Prix,7,1:39.717,1:29.413,,1,2005
BAR,bar,British,BUT,button,Jenson Button,British,22,2005-melbourne,Australian Grand Prix,8,1:41.512,1:30.616,,1,2005
McLaren,mclaren,British,MON,montoya,Juan Pablo Montoya,Colombian,10,2005-melbourne,Australian Grand Prix,9,1:45.325,1:29.320,,1,2005
McLaren,mclaren,British,RAI,raikkonen,Kimi Räikkönen,Finnish,7,2005-melbourne,Australian Grand Prix,10,1:44.997,1:30.561,,1,2005
Ferrari,ferrari,Italian,BAR,barrichello,Rubens Barrichello,Brazilian,2,2005-melbourne,Australian Grand Prix,11,1:45.481,1:31.341,,1,2005
Jordan,jordan,Irish,KAR,karthikeyan,Narain Karthikeyan,Indian,19,2005-melbourne,Australian Grand Prix,12,1:44.357,1:32.735,,1,2005
Renault,renault,French,ALO,alonso,Fernando Alonso,Spanish,14,2005-melbourne,Australian Grand Prix,13,1:47.708,1:29.758,,1,2005
Jordan,jordan,Irish,TMO,monteiro,Tiago Monteiro,Portuguese,18,2005-melbourne,Australian Grand Prix,14,1:46.846,1:33.483,,1,2005
Toyota,toyota,Japanese,SCH,ralf_schumacher,Ralf Schumacher,German,17,2005-melbourne,Australian Grand Prix,15,1:51.495,1:31.222,,1,2005
Minardi,minardi,Italian,FRI,friesacher,Patrick Friesacher,Austrian,20,2005-melbourne,Australian Grand Prix,16,1:50.864,1:37.499,,1,2005
Minardi,minardi,Italian,ALB,albers,Christijan Albers,Dutch,21,2005-melbourne,Australian Grand Prix,17,1:49.230,,,1,2005
Ferrari,ferrari,Italian,MSC,michael_schumacher,Michael Schumacher,German,1,2005-melbourne,Australian Grand Prix,18,1:57.931,,,1,2005
BAR,bar,British,SAT,sato,Takuma Sato,Japanese,4,2005-melbourne,Australian Grand Prix,19,,,,1,2005
Sauber,sauber,Swiss,MAS,massa,Felipe Massa,Brazilian,19,2005-melbourne,Australian Grand Prix,20,,,,1,2005
Renault,renault,French,ALO,alonso,Fernando Alonso,Spanish,14,2005-kuala-lumpur,Malaysian Grand Prix,1,1:32.582,1:35.090,,2,2005
Toyota,toyota,Japanese,TRU,trulli,Jarno Trulli,Italian,16,2005-kuala-lumpur,Malaysian Grand Prix,2,1:32.672,1:35.253,,2,2005
Renault,renault,French,FIS,fisichella,Giancarlo Fisichella,Italian,6,2005-kuala-lumpur,Malaysian Grand Prix,3,1:32.765,1:35.683,,2,2005
