constructor,constructor_id,constructor_nationality,driver_code,driver_id,driver_name,driver_nationality,driver_number,event_id,event_name,position,q1,q2,q3,round,year
Williams,williams,British,,damon_hill,Damon Hill,British,5,1995-s-o-paulo,Brazilian Grand Prix,1,1:20.081,,,1,1995
Benetton,benetton,Italian,MSC,michael_schumacher,Michael Schumacher,German,1,1995-s-o-paulo,Brazilian Grand Prix,2,1:20.382,,,1,1995
Williams,williams,British,COU,coulthard,David Coulthard,British,6,1995-s-o-paulo,Brazilian Grand Prix,3,1:20.422,,,1,1995
Benetton,benetton,Italian,,herbert,Johnny Herbert,British,2,1995-s-o-paulo,Brazilian Grand Prix,4,1:20.888,,,1,1995
Ferrari,ferrari,Italian,,berger,Gerhard Berger,Austrian,28,1995-s-o-paulo,Brazilian Grand Prix,5,1:20.906,,,1,1995
Ferrari,ferrari,Italian,,alesi,Jean Alesi,French,27,1995-s-o-paulo,Brazilian Grand Prix,6,1:21.041,,,1,1995
McLaren,mclaren,British,,hakkinen,Mika Häkkinen,Finnish,8,1995-s-o-paulo,Brazilian Grand Prix,7,1:21.399,,,1,1995
Jordan,jordan,Irish,,irvine,Eddie Irvine,British,15,1995-s-o-paulo,Brazilian Grand Prix,8,1:21.749,,,1,1995
McLaren,mclaren,British,,blundell,Mark Blundell,British,7,1995-s-o-paulo,Brazilian Grand Prix,9,1:21.779,,,1,1995
Ligier,ligier,French,,panis,Olivier Panis,French,26,1995-s-o-paulo,Brazilian Grand Prix,10,1:21.914,,,1,1995
Tyrrell,tyrrell,British,,katayama,Ukyo Katayama,Japanese,3,1995-s-o-paulo,Brazilian Grand Prix,11,1:22.325,,,1,1995
Tyrrell,tyrrell,British,,salo,Mika Salo,Finnish,4,1995-s-o-paulo,Brazilian Grand Prix,12,1:22.416,,,1,1995
Footwork,footwork,British,,morbidelli,Gianni Morbidelli,Italian,9,1995-s-o-paulo,Brazilian Grand Prix,13,1:22.468,,,1,1995
Sauber,sauber,Swiss,,frentzen,Heinz-Harald Frentzen,German,30,1995-s-o-paulo,Brazilian Grand Prix,14,1:22.872,,,1,1995
Ligier,ligier,French,,suzuki,Aguri Suzuki,Japanese,25,1995-s-o-paulo,Brazilian Grand Prix,15,1:22.971,,,1,1995
Jordan,jordan,Irish,BAR,barrichello,Rubens Barrichello,Brazilian,14,1995-s-o-paulo,Brazilian Grand Prix,16,1:22.975,,,1,1995
Minardi,minardi,Italian,,martini,Pierluigi Martini,Italian,23,1995-s-o-paulo,Brazilian Grand Prix,17,1:24.383,,,1,1995
Minardi,minardi,Italian,BAD,badoer,Luca Badoer,Italian,24,1995-s-o-paulo,Brazilian Grand Prix,18,1:24.443,,,1,1995
Sauber,sauber,Swiss,,wendlinger,Karl Wendlinger,Austrian,29,1995-s-o-paulo,Brazilian Grand Prix,19,1:24.723,,,1,1995
Pacific,pacific,British,,gachot,Bertrand Gachot,Belgian,16,1995-s-o-paulo,Brazilian Grand Prix,20,1:25.127,,,1,1995
Footwork,footwork,British,,inoue,Taki Inoue,Japanese,10,1995-s-o-paulo,Brazilian Grand Prix,21,1:25.225,,,1,1995
Pacific,pacific,British,,montermini,Andrea Montermini,Italian,17,1995-s-o-paulo,Brazilian Grand Prix,22,1:25.886,,,1,1995
Forti,forti,Italian,,moreno,Roberto Moreno,Brazilian,22,1995-s-o-paulo,Brazilian Grand Prix,23,1:26.269,,,1,1995
Simtek,simtek,British,,verstappen,Jos Verstappen,Dutch,12,1995-s-o-paulo,Brazilian Grand Prix,24,1:27.323,,,1,1995
Forti,forti,Italian,,diniz,Pedro Diniz,Brazilian,21,1995-s-o-paulo,Brazilian Grand Prix,25,1:27.792,,,1,1995
Simtek,simtek,British,,schiattarella,Domenico Schiattarella,Italian,11,1995-s-o-paulo,Brazilian Grand Prix,26,1:28.106,,,1,1995
Williams,williams,British,COU,coulthard,David Coulthard,British,6,1995-buenos-aires,Argentine Grand Prix,1,1:53.241,,,2,1995
Williams,williams,British,,damon_hill,Damon Hill,British,5,1995-buenos-aires,Argentine Grand Prix,2,1:54.057,,,2,1995
Benetton,benetton,Italian,MSC,michael_schumacher,Michael Schumacher,German,1,1995-buenos-aires,Argentine Grand Prix,3,1:54.272,,,2,1995
Jordan,jordan,Irish,,irvine,Eddie Irvine,British,15,1995-buenos-aires,Argentine Grand Prix,4,1:54.381,,,2,1995
McLaren,mclaren,British,,hakkinen,Mika Häkkinen,Finnish,8,1995-buenos-aires,Argentine Grand Prix,5,1:54.529,,,2,1995
Ferrari,ferrari,Italian,,alesi,Jean Alesi,French,27,1995-buenos-aires,Argentine Grand Prix,6,1:54.637,,,2,1995
Tyrrell,tyrrell,British,,salo,Mika Salo,Finnish,4,1995-buenos-aires,Argentine Grand Prix,7,1:54.757,,,2,1995
Ferrari,ferrari,Italian,,berger,Gerhard Berger,Austrian,28,1995-buenos-aires,Argentine Grand Prix,8,1:55.276,,,2,1995
Sauber,sauber,Swiss,,frentzen,Heinz-Harald Frentzen,German,30,1995-buenos-aires,Argentine Grand Prix,9,1:55.583,,,2,1995
Jordan,jordan,Irish,BAR,barrichello,Rubens Barrichello,Brazilian,14,1995-buenos-aires,Argentine Grand Prix,10,1:56.114,,,2,1995
Benetton,benetton,Italian,,herbert,Johnny Herbert,British,2,1995-buenos-aires,Argentine Grand Prix,11,1:57.068,,,2,1995
Footwork,footwork,British,,morbidelli,Gianni Morbidelli,Italian,9,1995-buenos-aires,Argentine Grand Prix,12,1:57.092,,,2,1995
Minardi,minardi,Italian,BAD,badoer,Luca Badoer,Italian,24,1995-buenos-aires,Argentine Grand Prix,13,1:57.167,,,2,1995
Simtek,simtek,British,,verstappen,Jos Verstappen,Dutch,12,1995-buenos-aires,Argentine Grand Prix,14,1:57.231,,,2,1995
Tyrrell,tyrrell,British,,katayama,Ukyo Katayama,Japanese,3,1995-buenos-aires,Argentine Grand Prix,15,1:57.484,,,2,1995
Minardi,minardi,Italian,,martini,Pierluigi Martini,Italian,23,1995-buenos-aires,Argentine Grand Prix,16,1:58.066,,,2,1995
McLaren,mclaren,British,,blundell,Mark Blundell,British,7,1995-buenos-aires,Argentine Grand Prix,17,1:58.660,,,2,1995
Ligier,ligier,French,,panis,Olivier Panis,French,26,1995-buenos-aires,Argentine Grand Prix,18,1:58.824,,,2,1995
Ligier,ligier,French,,suzuki,Aguri Suzuki,Japanese,25,1995-buenos-aires,Argentine Grand Prix,19,1:58.882,,,2,1995
Simtek,simtek,British,,schiattarella,Domenico Schiattarella,Italian,11,1995-buenos-aires,Argentine Grand Prix,20,1:59.539,,,2,1995
Sauber,sauber,Swiss,,wendlinger,Karl Wendlinger,Austrian,29,1995-buenos-aires,Argentine Grand Prix,21,2:00.751,,,2,1995
Pacific,pacific,British,,montermini,Andrea Montermini,Italian,17,1995-buenos-aires,Argentine Grand Prix,22,2:01.763,,,2,1995
Pacific,pacific,British,,gachot,Bertrand Gachot,Belgian,16,1995-buenos-aires,Argentine Grand Prix,23,2:04.050,,,2,1995
Forti,forti,Italian,,moreno,Roberto Moreno,Brazilian,22,1995-buenos-aires,Argentine Grand Prix,24,2:04.481,,,2,1995
Forti,forti,Italian,,diniz,Pedro Diniz,Brazilian,21,1995-buenos-aires,Argentine Grand Prix,25,2:05.932,,,2,1995
Footwork,footwork,British,,inoue,Taki Inoue,Japanese,10,1995-buenos-aires,Argentine Grand Prix,26,2:07.298,,,2,1995
Benetton,benetton,Italian,MSC,michael_schumacher,Michael Schumacher,German,1,1995-imola,San Marino Grand Prix,1,1:27.274,,,3,1995
Ferrari,ferrari,Italian,,berger,Gerhard Berger,Austrian,28,1995-imola,San Marino Grand Prix,2,1:27.282,,,3,1995
Williams,williams,British,COU,coulthard,David Coulthard,British,6,1995-imola,San Marino Grand Prix,3,1:27.459,,,3,1995
Williams,williams,British,,damon_hill,Damon Hill,British,5,1995-imola,San Marino Grand Prix,4,1:27.512,,,3,1995
Ferrari,ferrari,Italian,,alesi,Jean Alesi,French,27,1995-imola,San Marino Grand Prix,5,1:27.813,,,3,1995
McLaren,mclaren,British,,hakkinen,Mika Häkkinen,Finnish,8,1995-imola,San Marino Grand Prix,6,1:28.343,,,3,1995
Jordan,jordan,Irish,,irvine,Eddie Irvine,British,15,1995-imola,San Marino Grand Prix,7,1:28.516,,,3,1995
Benetton,benetton,Italian,,herbert,Johnny Herbert,British,2,1995-imola,San Marino Grand Prix,8,1:29.350,,,3,1995
McLaren,mclaren,British,,mansell,Nigel Mansell,British,7,1995-imola,San Marino Grand Prix,9,1:29.517,,,3,1995
Jordan,jordan,Irish,BAR,barrichello,Rubens Barrichello,Brazilian,14,1995-imola,San Marino Grand Prix,10,1:29.551,,,3,1995
