Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
HAR,Toro Rosso,14,15,HYPERSOFT,ULTRASOFT
VET,Ferrari,14,15,HYPERSOFT,ULTRASOFT
HAM,Mercedes,15,16,HYPERSOFT,SOFT
HUL,Renault,15,16,HYPERSOFT,ULTRASOFT
BOT,Mercedes,16,17,HYPERSOFT,SOFT
GRO,Haas F1 Team,16,17,HYPERSOFT,SOFT
PER,Racing Point,17,18,HYPERSOFT,ULTRASOFT
VER,Red Bull Racing,17,18,HYPERSOFT,SOFT
RAI,Ferrari,22,23,HYPERSOFT,SOFT
GAS,Toro Rosso,26,27,HYPERSOFT,ULTRASOFT
MAG,Haas F1 Team,26,27,ULTRASOFT,SOFT
RIC,Red Bull Racing,27,28,HYPERSOFT,ULTRASOFT
PER,Racing Point,33,34,ULTRASOFT,SOFT
HAR,Toro Rosso,36,37,ULTRASOFT,HYPERSOFT
MAG,Haas F1 Team,36,37,SOFT,HYPERSOFT
SAI,Renault,37,38,ULTRASOFT,SOFT
ALO,McLaren,38,39,ULTRASOFT,SOFT
LEC,Sauber,38,39,ULTRASOFT,HYPERSOFT
PER,Racing Point,39,40,SOFT,SOFT
STR,Williams,40,41,SOFT,ULTRASOFT
VAN,McLaren,43,44,ULTRASOFT,ULTRASOFT
ERI,Sauber,44,45,ULTRASOFT,ULTRASOFT
SIR,Williams,45,46,SOFT,SOFT
MAG,Haas F1 Team,48,49,HYPERSOFT,HYPERSOFT
