Compound,laps,drivers,average_lap_seconds,best_lap_seconds,share
ULTRASOFT,417,13,107.665,103.12,0.4234
SOFT,368,12,106.934,102.913,0.3736
HYPERSOFT,200,14,107.701,101.905,0.203
