Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
HAR,Toro Rosso,1,2.0,SUPERSOFT,ULTRASOFT
OCO,Racing Point,1,2.0,SUPERSOFT,SUPERSOFT
GAS,Toro Rosso,5,6.0,HYPERSOFT,SUPERSOFT
STR,Williams,10,11.0,ULTRASOFT,ULTRASOFT
BOT,Mercedes,11,12.0,ULTRASOFT,SUPERSOFT
HAM,Mercedes,11,12.0,ULTRASOFT,SUPERSOFT
SAI,Renault,11,12.0,HYPERSOFT,SUPERSOFT
SIR,Williams,11,12.0,ULTRASOFT,SUPERSOFT
HUL,Renault,12,13.0,HYPERSOFT,SUPERSOFT
RIC,Red Bull Racing,12,13.0,ULTRASOFT,SUPERSOFT
VAN,McLaren,12,13.0,ULTRASOFT,SUPERSOFT
LEC,Sauber,13,14.0,HYPERSOFT,SUPERSOFT
VER,Red Bull Racing,13,14.0,ULTRASOFT,SUPERSOFT
ERI,Sauber,16,17.0,HYPERSOFT,SUPERSOFT
RAI,Ferrari,17,18.0,ULTRASOFT,SUPERSOFT
VET,Ferrari,17,18.0,ULTRASOFT,SUPERSOFT
STR,Williams,23,24.0,ULTRASOFT,SUPERSOFT
HAR,Toro Rosso,24,25.0,ULTRASOFT,SUPERSOFT
GAS,Toro Rosso,26,27.0,SUPERSOFT,SUPERSOFT
OCO,Racing Point,30,31.0,SUPERSOFT,ULTRASOFT
PER,Racing Point,30,31.0,SUPERSOFT,ULTRASOFT
PER,Racing Point,38,,ULTRASOFT,
MAG,Haas F1 Team,43,44.0,SUPERSOFT,ULTRASOFT
GRO,Haas F1 Team,44,45.0,SUPERSOFT,ULTRASOFT
HAM,Mercedes,47,48.0,SUPERSOFT,ULTRASOFT
VET,Ferrari,47,48.0,SUPERSOFT,ULTRASOFT
BOT,Mercedes,48,49.0,SUPERSOFT,ULTRASOFT
VER,Red Bull Racing,48,49.0,SUPERSOFT,SUPERSOFT
GRO,Haas F1 Team,60,61.0,ULTRASOFT,HYPERSOFT
BOT,Mercedes,62,63.0,ULTRASOFT,HYPERSOFT
