pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,VER,Red Bull Racing,33,63,81.217,81.025,79.186,1.625,0.0
2,VET,Ferrari,5,63,81.516,81.128,79.522,2.466,0.299
3,RIC,Red Bull Racing,3,56,81.666,81.548,79.462,0.941,0.449
4,RAI,Ferrari,7,65,82.304,81.601,80.334,2.512,1.087
5,BOT,Mercedes,77,60,82.075,81.89,78.741,1.264,0.858
6,HAM,Mercedes,44,63,82.333,81.909,80.728,1.819,1.116
7,GAS,Toro Rosso,10,61,84.55,83.97,82.755,2.03,3.333
8,HUL,Renault,27,63,84.296,84.079,80.637,1.962,3.079
9,SAI,Renault,55,24,84.142,84.139,82.386,0.763,2.925
10,STR,Williams,18,61,84.836,84.341,82.983,2.376,3.619
11,ERI,Sauber,9,63,84.937,84.414,82.44,2.476,3.72
12,VAN,McLaren,2,63,84.848,84.44,81.921,2.96,3.631
13,PER,Racing Point,11,33,84.775,84.442,83.545,1.101,3.558
14,HAR,Toro Rosso,28,61,84.736,84.45,82.438,1.895,3.519
15,LEC,Sauber,16,63,84.53,84.453,80.537,2.541,3.313
16,SIR,Williams,35,63,85.198,84.504,82.64,2.706,3.981
17,OCO,Racing Point,31,61,84.522,84.634,82.629,0.93,3.305
18,MAG,Haas F1 Team,20,63,85.305,84.883,81.874,2.53,4.088
19,GRO,Haas F1 Team,8,60,84.699,84.892,81.37,1.388,3.482
20,ALO,McLaren,14,3,87.985,85.044,84.197,5.843,6.768
