constructor_ids,constructors,driver_code,driver_id,driver_name,driver_nationality,driver_number,points,position,position_text,wins,year
"[""ferrari""]","[""Ferrari""]",,fangio,Juan Fangio,Argentine,,30.0,1,1,3,1956
"[""maserati""]","[""Maserati""]",,moss,Stirling Moss,British,,27.0,2,2,2,1956
"[""ferrari""]","[""Ferrari""]",,collins,Peter Collins,British,,25.0,3,3,2,1956
"[""maserati""]","[""Maserati""]",,behra,Jean Behra,French,,22.0,4,4,0,1956
"[""watson""]","[""Watson""]",,flaherty,Pat Flaherty,American,,8.0,5,5,1,1956
"[""ferrari""]","[""Ferrari""]",,castellotti,Eugenio Castellotti,Italian,,7.5,6,6,0,1956
"[""kurtis_kraft""]","[""Kurtis Kraft""]",,hanks,Sam Hanks,American,,6.0,7,7,0,1956
"[""ferrari""]","[""Ferrari""]",,frere,Paul Frère,Belgian,,6.0,8,8,0,1956
"[""maserati""]","[""Maserati""]",,godia,Paco Godia,Spanish,,6.0,9,9,0,1956
"[""connaught""]","[""Connaught""]",,fairman,Jack Fairman,British,,5.0,10,10,0,1956
"[""ferrari""]","[""Ferrari""]",,musso,Luigi Musso,Italian,,4.0,11,11,1,1956
"[""maserati"", ""brm"", ""vanwall""]","[""Maserati"", ""BRM"", ""Vanwall""]",,hawthorn,Mike Hawthorn,British,,4.0,12,12,0,1956
"[""brm"", ""connaught""]","[""BRM"", ""Connaught""]",,flockhart,Ron Flockhart,British,,4.0,13,13,0,1956
"[""phillips""]","[""Phillips""]",,freeland,Don Freeland,American,,4.0,14,14,0,1956
"[""ferrari""]","[""Ferrari""]",,portago,Alfonso de Portago,Spanish,,3.0,15,15,0,1956
"[""maserati""]","[""Maserati""]",,perdisa,Cesare Perdisa,Italian,,3.0,16,16,0,1956
"[""vanwall"", ""maserati""]","[""Vanwall"", ""Maserati""]",,schell,Harry Schell,American,,3.0,17,17,0,1956
"[""kurtis_kraft""]","[""Kurtis Kraft""]",,parsons,Johnnie Parsons,American,,3.0,18,18,0,1956
"[""maserati""]","[""Maserati""]",,rosier,Louis Rosier,French,,2.0,19,19,0,1956
"[""maserati""]","[""Maserati""]",,villoresi,Luigi Villoresi,Italian,,2.0,20,20,0,1956
"[""maserati""]","[""Maserati""]",,gould,Horace Gould,British,,2.0,21,21,0,1956
"[""gordini"", ""maserati""]","[""Gordini"", ""Maserati""]",,ramos,Hernando da Silva Ramos,Brazilian,,2.0,22,22,0,1956
"[""ferrari""]","[""Ferrari""]",,gendebien,Olivier Gendebien,Belgian,,2.0,23,23,0,1956
"[""kurtis_kraft""]","[""Kurtis Kraft""]",,dick_rathmann,Dick Rathmann,American,,2.0,24,24,0,1956
"[""maserati""]","[""Maserati""]",,gerini,Gerino Gerini,Italian,,1.5,25,25,0,1956
"[""maserati""]","[""Maserati""]",,landi,Chico Landi,Brazilian,,1.5,26,26,0,1956
"[""kurtis_kraft""]","[""Kurtis Kraft""]",,paul_russo,Paul Russo,American,,1.0,27,27,0,1956
"[""gordini"", ""ferrari""]","[""Gordini"", ""Ferrari""]",,andre_pilette,André Pilette,Belgian,,0.0,,-,0,1956
"[""maserati""]","[""Maserati""]",,piotti,Luigi Piotti,Italian,,0.0,,-,0,1956
"[""maserati""]","[""Maserati""]",,oscar_gonzalez,Óscar González,Uruguayan,,0.0,,-,0,1956
"[""maserati""]","[""Maserati""]",,uria,Alberto Uria,Uruguayan,,0.0,,-,0,1956
