constructor,constructor_id,constructor_nationality,driver_code,driver_id,driver_name,driver_nationality,driver_number,event_id,event_name,fastest_lap_average_speed,fastest_lap_average_speed_units,fastest_lap_lap,fastest_lap_rank,fastest_lap_time,grid_position,laps,milliseconds,points,position,position_text,round,status,time,year
Lotus F1,lotus_f1,British,RAI,raikkonen,Kimi Räikkönen,Finnish,7,2013-melbourne,Australian Grand Prix,213.845,kph,56,1,1:29.274,7,58,5403225,25.0,1,1,1,Finished,1:30:03.225,2013
Ferrari,ferrari,Italian,ALO,alonso,Fernando Alonso,Spanish,14,2013-melbourne,Australian Grand Prix,213.162,kph,53,3,1:29.560,5,58,5415676,18.0,2,2,1,Finished,+12.451,2013
Red Bull,red_bull,Austrian,VET,vettel,Sebastian Vettel,German,5,2013-melbourne,Australian Grand Prix,211.16,kph,42,10,1:30.409,1,58,5425571,15.0,3,3,1,Finished,+22.346,2013
Ferrari,ferrari,Italian,MAS,massa,Felipe Massa,Brazilian,19,2013-melbourne,Australian Grand Prix,211.558,kph,38,8,1:30.239,4,58,5436802,12.0,4,4,1,Finished,+33.577,2013
Mercedes,mercedes,German,HAM,hamilton,Lewis Hamilton,British,44,2013-melbourne,Australian Grand Prix,212.689,kph,45,5,1:29.759,3,58,5448786,10.0,5,5,1,Finished,+45.561,2013
Red Bull,red_bull,Austrian,WEB,webber,Mark Webber,Australian,2,2013-melbourne,Australian Grand Prix,212.753,kph,45,4,1:29.732,2,58,5450025,8.0,6,6,1,Finished,+46.800,2013
Force India,force_india,Indian,SUT,sutil,Adrian Sutil,German,99,2013-melbourne,Australian Grand Prix,210.459,kph,49,13,1:30.710,12,58,5468293,6.0,7,7,1,Finished,+1:05.068,2013
Force India,force_india,Indian,DIR,resta,Paul di Resta,British,40,2013-melbourne,Australian Grand Prix,210.033,kph,56,15,1:30.894,9,58,5471674,4.0,8,8,1,Finished,+1:08.449,2013
McLaren,mclaren,British,BUT,button,Jenson Button,British,22,2013-melbourne,Australian Grand Prix,211.654,kph,41,7,1:30.198,10,58,5484855,2.0,9,9,1,Finished,+1:21.630,2013
Lotus F1,lotus_f1,British,GRO,grosjean,Romain Grosjean,French,8,2013-melbourne,Australian Grand Prix,211.193,kph,41,9,1:30.395,8,58,5485984,1.0,10,10,1,Finished,+1:22.759,2013
