constructor,constructor_id,constructor_nationality,constructor_url,points,position,position_text,wins,year
McLaren,mclaren,British,https://en.wikipedia.org/wiki/McLaren,666.0,1,1,6,2024
Ferrari,ferrari,Italian,https://en.wikipedia.org/wiki/Scuderia_Ferrari,652.0,2,2,5,2024
Red Bull,red_bull,Austrian,https://en.wikipedia.org/wiki/Red_Bull_Racing,589.0,3,3,9,2024
Mercedes,mercedes,German,https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,468.0,4,4,4,2024
Aston Martin,aston_martin,British,https://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One,94.0,5,5,0,2024
Alpine F1 Team,alpine,French,https://en.wikipedia.org/wiki/Alpine_F1_Team,65.0,6,6,0,2024
Haas F1 Team,haas,American,https://en.wikipedia.org/wiki/Haas_F1_Team,58.0,7,7,0,2024
RB F1 Team,rb,Italian,https://en.wikipedia.org/wiki/Racing_Bulls,46.0,8,8,0,2024
Williams,williams,British,https://en.wikipedia.org/wiki/Williams_Racing,17.0,9,9,0,2024
Sauber,sauber,Swiss,https://en.wikipedia.org/wiki/Sauber_Motorsport,4.0,10,10,0,2024
