constructor,constructor_id,constructor_nationality,constructor_url,points,position,position_text,wins,year
Mercedes,mercedes,German,https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,219.0,1,1,5,2026
Ferrari,ferrari,Italian,https://en.wikipedia.org/wiki/Scuderia_Ferrari,147.0,2,2,0,2026
McLaren,mclaren,British,https://en.wikipedia.org/wiki/McLaren,106.0,3,3,0,2026
Red Bull,red_bull,Austrian,https://en.wikipedia.org/wiki/Red_Bull_Racing,57.0,4,4,0,2026
Alpine F1 Team,alpine,French,https://en.wikipedia.org/wiki/Alpine_F1_Team,35.0,5,5,0,2026
RB F1 Team,rb,Italian,https://en.wikipedia.org/wiki/Racing_Bulls,21.0,6,6,0,2026
Haas F1 Team,haas,American,https://en.wikipedia.org/wiki/Haas_F1_Team,19.0,7,7,0,2026
Williams,williams,British,https://en.wikipedia.org/wiki/Williams_Racing,7.0,8,8,0,2026
Audi,audi,German,https://en.wikipedia.org/wiki/Audi_in_Formula_One,2.0,9,9,0,2026
Cadillac F1 Team,cadillac,American,https://en.wikipedia.org/wiki/Cadillac_in_Formula_One,0.0,10,10,0,2026
Aston Martin,aston_martin,British,https://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One,0.0,11,11,0,2026
