circuit_id,circuit_name,circuit_url,country,date,event_id,event_name,event_slug,latitude,locality,longitude,round,season,time,url,year
albert_park,Albert Park Grand Prix Circuit,https://en.wikipedia.org/wiki/Albert_Park_Circuit,Australia,2026-03-08,2026-melbourne,Australian Grand Prix,melbourne,-37.8497,Melbourne,144.968,1,2026,04:00:00Z,https://en.wikipedia.org/wiki/2026_Australian_Grand_Prix,2026
shanghai,Shanghai International Circuit,https://en.wikipedia.org/wiki/Shanghai_International_Circuit,China,2026-03-15,2026-shanghai,Chinese Grand Prix,shanghai,31.3389,Shanghai,121.22,2,2026,07:00:00Z,https://en.wikipedia.org/wiki/2026_Chinese_Grand_Prix,2026
suzuka,Suzuka Circuit,https://en.wikipedia.org/wiki/Suzuka_International_Racing_Course,Japan,2026-03-29,2026-suzuka,Japanese Grand Prix,suzuka,34.8431,Suzuka,136.541,3,2026,05:00:00Z,https://en.wikipedia.org/wiki/2026_Japanese_Grand_Prix,2026
miami,Miami International Autodrome,https://en.wikipedia.org/wiki/Miami_International_Autodrome,USA,2026-05-03,2026-miami,Miami Grand Prix,miami,25.9581,Miami,-80.2389,4,2026,20:00:00Z,https://en.wikipedia.org/wiki/2026_Miami_Grand_Prix,2026
villeneuve,Circuit Gilles Villeneuve,https://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve,Canada,2026-05-24,2026-montreal,Canadian Grand Prix,montreal,45.5,Montreal,-73.5228,5,2026,20:00:00Z,https://en.wikipedia.org/wiki/2026_Canadian_Grand_Prix,2026
