Compound,laps,drivers,average_lap_seconds,best_lap_seconds,share
SUPERSOFT,562,18,105.481,100.867,0.706
ULTRASOFT,208,13,105.565,100.953,0.2613
HYPERSOFT,26,4,107.401,104.045,0.0327
