Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
HUL,Audi,1,2,MEDIUM,MEDIUM
BOT,Cadillac,6,7,MEDIUM,SOFT
VER,Red Bull Racing,6,7,MEDIUM,HARD
RUS,Mercedes,20,21,MEDIUM,HARD
BOT,Cadillac,21,22,SOFT,MEDIUM
LEC,Ferrari,21,22,MEDIUM,HARD
STR,Aston Martin,21,22,MEDIUM,SOFT
ANT,Mercedes,26,27,MEDIUM,HARD
BEA,Haas F1 Team,26,27,MEDIUM,HARD
ALB,Williams,27,28,MEDIUM,HARD
HAM,Ferrari,27,28,MEDIUM,HARD
NOR,McLaren,27,28,MEDIUM,HARD
LIN,Racing Bulls,28,29,MEDIUM,HARD
PIA,McLaren,28,29,MEDIUM,HARD
SAI,Williams,28,29,MEDIUM,HARD
PER,Cadillac,29,30,MEDIUM,HARD
BOT,Cadillac,30,31,MEDIUM,MEDIUM
COL,Alpine,31,32,MEDIUM,HARD
OCO,Haas F1 Team,31,32,MEDIUM,HARD
BOR,Audi,32,33,MEDIUM,HARD
STR,Aston Martin,37,38,SOFT,SOFT
ALO,Aston Martin,41,42,MEDIUM,SOFT
