constructor,constructor_id,constructor_nationality,constructor_url,points,position,position_text,wins,year
Tyrrell,tyrrell,British,https://en.wikipedia.org/wiki/Tyrrell_Racing,73.0,1,1,7,1971
BRM,brm,British,https://en.wikipedia.org/wiki/British_Racing_Motors,36.0,2,2,2,1971
March-Ford,march-ford,British,https://en.wikipedia.org/wiki/March_Engineering,34.0,3,3,0,1971
Ferrari,ferrari,Italian,https://en.wikipedia.org/wiki/Scuderia_Ferrari,33.0,4,4,2,1971
Lotus-Ford,lotus-ford,British,https://en.wikipedia.org/wiki/Team_Lotus,21.0,5,5,0,1971
McLaren,mclaren,British,https://en.wikipedia.org/wiki/McLaren,10.0,6,6,0,1971
Matra,matra,French,https://en.wikipedia.org/wiki/Matra,9.0,7,7,0,1971
Surtees,surtees,British,https://en.wikipedia.org/wiki/Surtees,8.0,8,8,0,1971
Brabham,brabham,British,https://en.wikipedia.org/wiki/Brabham,5.0,9,9,0,1971
Lotus-Pratt &amp; Whitney,lotus-pw,British,https://en.wikipedia.org/wiki/Team_Lotus,0.0,,-,0,1971
March-Alfa Romeo,march-alfa_romeo,British,https://en.wikipedia.org/wiki/March_Engineering,0.0,,-,0,1971
Bellasi,bellasi,Swiss,https://en.wikipedia.org/wiki/Bellasi,0.0,,-,0,1971
