pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,VER,Red Bull Racing,33,65,80.696,80.557,78.999,0.742,0.0
2,HAM,Mercedes,44,65,80.894,80.727,79.82,0.677,0.198
3,PER,Red Bull Racing,11,65,80.941,81.152,79.468,0.867,0.245
4,GAS,AlphaTauri,10,65,81.605,81.454,80.51,0.697,0.909
5,RAI,Alfa Romeo Racing,7,64,82.077,81.771,80.713,0.988,1.381
6,VET,Aston Martin,5,64,82.022,81.793,80.46,0.947,1.326
7,SAI,Ferrari,55,64,81.909,81.832,80.081,1.283,1.213
8,LEC,Ferrari,16,65,81.861,81.884,80.665,0.706,1.165
9,ALO,Alpine,14,64,82.155,82.108,80.711,1.118,1.459
10,NOR,McLaren,4,64,82.188,82.199,80.617,1.234,1.492
11,RIC,McLaren,3,62,82.567,82.374,81.069,1.05,1.871
12,STR,Aston Martin,18,61,82.695,82.593,80.93,1.401,1.999
13,GIO,Alfa Romeo Racing,99,64,82.764,82.604,81.523,0.88,2.068
14,BOT,Mercedes,77,58,82.481,82.798,77.774,1.583,1.785
15,OCO,Alpine,31,64,82.909,82.904,81.348,1.231,2.213
16,RUS,Williams,63,63,83.704,83.189,82.016,1.258,3.008
17,LAT,Williams,6,61,83.509,83.358,81.546,1.539,2.813
18,MAZ,Haas F1 Team,9,60,84.684,84.529,81.402,1.536,3.988
