constructor,constructor_id,constructor_nationality,driver_code,driver_id,driver_name,driver_nationality,driver_number,event_id,event_name,position,q1,q2,q3,round,year
Mercedes,mercedes,German,HAM,hamilton,Lewis Hamilton,British,44,2016-melbourne,Australian Grand Prix,1,1:25.351,1:24.605,1:23.837,1,2016
Mercedes,mercedes,German,ROS,rosberg,Nico Rosberg,German,6,2016-melbourne,Australian Grand Prix,2,1:26.934,1:24.796,1:24.197,1,2016
Ferrari,ferrari,Italian,VET,vettel,Sebastian Vettel,German,5,2016-melbourne,Australian Grand Prix,3,1:26.945,1:25.257,1:24.675,1,2016
Ferrari,ferrari,Italian,RAI,raikkonen,Kimi Räikkönen,Finnish,7,2016-melbourne,Australian Grand Prix,4,1:26.579,1:25.615,1:25.033,1,2016
Toro Rosso,toro_rosso,Italian,VER,max_verstappen,Max Verstappen,Dutch,3,2016-melbourne,Australian Grand Prix,5,1:26.934,1:25.615,1:25.434,1,2016
Williams,williams,British,MAS,massa,Felipe Massa,Brazilian,19,2016-melbourne,Australian Grand Prix,6,1:25.918,1:25.644,1:25.458,1,2016
Toro Rosso,toro_rosso,Italian,SAI,sainz,Carlos Sainz,Spanish,55,2016-melbourne,Australian Grand Prix,7,1:27.057,1:25.384,1:25.582,1,2016
Red Bull,red_bull,Austrian,RIC,ricciardo,Daniel Ricciardo,Australian,3,2016-melbourne,Australian Grand Prix,8,1:26.945,1:25.599,1:25.589,1,2016
Force India,force_india,Indian,PER,perez,Sergio Pérez,Mexican,11,2016-melbourne,Australian Grand Prix,9,1:26.607,1:25.753,,1,2016
Force India,force_india,Indian,HUL,hulkenberg,Nico Hülkenberg,German,27,2016-melbourne,Australian Grand Prix,10,1:26.550,1:25.865,,1,2016
Williams,williams,British,BOT,bottas,Valtteri Bottas,Finnish,77,2016-melbourne,Australian Grand Prix,11,1:27.135,1:25.961,,1,2016
McLaren,mclaren,British,ALO,alonso,Fernando Alonso,Spanish,14,2016-melbourne,Australian Grand Prix,12,1:26.537,1:26.125,,1,2016
McLaren,mclaren,British,BUT,button,Jenson Button,British,22,2016-melbourne,Australian Grand Prix,13,1:26.740,1:26.304,,1,2016
