pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,VER,Red Bull Racing,1,58,79.141,79.106,76.33,1.014,0.0
2,HAM,Mercedes,44,58,79.427,79.254,76.676,1.015,0.286
3,PER,Red Bull Racing,11,58,79.584,79.384,76.666,1.358,0.443
4,RUS,Mercedes,63,58,79.547,79.416,77.875,1.071,0.406
5,GAS,Alpine,10,58,80.019,79.758,78.375,1.057,0.878
6,HUL,Haas F1 Team,27,56,80.07,79.898,78.776,1.105,0.929
7,ZHO,Alfa Romeo,24,58,80.043,79.952,78.753,0.916,0.902
8,STR,Aston Martin,18,58,79.994,79.986,78.722,0.777,0.853
9,OCO,Alpine,31,58,80.072,80.05,78.946,0.812,0.931
10,NOR,McLaren,4,56,80.114,80.083,77.182,1.082,0.973
11,TSU,AlphaTauri,22,58,80.051,80.132,78.904,0.743,0.91
12,SAI,Ferrari,55,58,79.764,80.142,78.403,0.896,0.623
13,MAG,Haas F1 Team,20,56,80.368,80.252,78.069,1.2,1.227
14,ALO,Aston Martin,14,58,80.03,80.282,78.083,1.042,0.889
15,LEC,Ferrari,16,58,80.022,80.284,78.357,1.097,0.881
16,DEV,AlphaTauri,21,58,80.301,80.512,78.594,1.071,1.16
17,PIA,McLaren,81,58,80.32,80.552,78.679,0.974,1.179
18,ALB,Williams,23,58,80.568,80.712,79.133,1.107,1.427
19,SAR,Williams,2,57,80.894,80.834,79.247,1.024,1.753
20,BOT,Alfa Romeo,77,58,80.887,81.17,78.242,1.184,1.746
