Driver,DriverNumber,Team,LapNumber,LapTime,LapTimeSeconds,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitOutTime,PitInTime,Position,IsPersonalBest,TrackStatus
SAR,2,Williams,27.0,0 days 00:01:20.762000,80.762,0 days 00:00:23.720000,0 days 00:00:32.553000,0 days 00:00:24.489000,HARD,10.0,2.0,,,17.0,False,1
HUL,27,Haas F1 Team,27.0,0 days 00:01:39.843000,99.843,0 days 00:00:43.759000,0 days 00:00:32.206000,0 days 00:00:23.878000,HARD,1.0,3.0,0 days 01:38:27.815000,,18.0,False,1
MAG,20,Haas F1 Team,27.0,0 days 00:01:19.009000,79.009,0 days 00:00:23.578000,0 days 00:00:31.669000,0 days 00:00:23.762000,HARD,3.0,3.0,,,19.0,True,1
NOR,4,McLaren,27.0,0 days 00:01:19.880000,79.88,0 days 00:00:23.877000,0 days 00:00:32,0 days 00:00:24.003000,MEDIUM,5.0,3.0,,,20.0,False,1
VER,1,Red Bull Racing,28.0,0 days 00:01:18.707000,78.707,0 days 00:00:23.713000,0 days 00:00:31.496000,0 days 00:00:23.498000,HARD,2.0,2.0,,,1.0,True,1
HAM,44,Mercedes,28.0,0 days 00:01:19.161000,79.161,0 days 00:00:23.262000,0 days 00:00:31.857000,0 days 00:00:24.042000,MEDIUM,4.0,2.0,,,2.0,True,1
SAI,55,Ferrari,28.0,0 days 00:01:21.450000,81.45,0 days 00:00:24.491000,0 days 00:00:32.554000,0 days 00:00:24.405000,MEDIUM,13.0,2.0,,,3.0,False,1
RUS,63,Mercedes,28.0,0 days 00:01:18.264000,78.264,0 days 00:00:22.868000,0 days 00:00:31.748000,0 days 00:00:23.648000,MEDIUM,3.0,2.0,,,4.0,True,1
STR,18,Aston Martin,28.0,0 days 00:01:21.200000,81.2,0 days 00:00:24.260000,0 days 00:00:32.590000,0 days 00:00:24.350000,SOFT,17.0,2.0,,,5.0,False,1
OCO,31,Alpine,28.0,0 days 00:01:20.318000,80.318,0 days 00:00:23.717000,0 days 00:00:32.412000,0 days 00:00:24.189000,MEDIUM,15.0,2.0,,,6.0,False,1
TSU,22,AlphaTauri,28.0,0 days 00:01:20.310000,80.31,0 days 00:00:23.574000,0 days 00:00:32.396000,0 days 00:00:24.340000,HARD,18.0,2.0,,,7.0,False,1
ALO,14,Aston Martin,28.0,0 days 00:01:20.404000,80.404,0 days 00:00:23.943000,0 days 00:00:32.307000,0 days 00:00:24.154000,SOFT,12.0,2.0,,,8.0,False,1
PER,11,Red Bull Racing,28.0,0 days 00:01:38.204000,98.204,0 days 00:00:42.509000,0 days 00:00:32.165000,0 days 00:00:23.530000,HARD,1.0,2.0,0 days 01:39:19.204000,,9.0,False,1
ZHO,24,Alfa Romeo,28.0,0 days 00:01:20.946000,80.946,0 days 00:00:24.051000,0 days 00:00:32.569000,0 days 00:00:24.326000,HARD,19.0,2.0,,,10.0,False,1
PIA,81,McLaren,28.0,0 days 00:01:20.667000,80.667,0 days 00:00:23.969000,0 days 00:00:32.427000,0 days 00:00:24.271000,HARD,11.0,2.0,,,11.0,False,1
GAS,10,Alpine,28.0,0 days 00:01:19.996000,79.996,0 days 00:00:23.572000,0 days 00:00:32.302000,0 days 00:00:24.122000,MEDIUM,9.0,2.0,,,12.0,False,1
LEC,16,Ferrari,28.0,0 days 00:01:20.495000,80.495,0 days 00:00:23.842000,0 days 00:00:32.271000,0 days 00:00:24.382000,SOFT,12.0,2.0,,,13.0,False,1
DEV,21,AlphaTauri,28.0,0 days 00:01:20.848000,80.848,0 days 00:00:24.015000,0 days 00:00:32.464000,0 days 00:00:24.369000,HARD,19.0,2.0,,,14.0,False,1
BOT,77,Alfa Romeo,28.0,0 days 00:01:21.253000,81.253,0 days 00:00:24.132000,0 days 00:00:32.702000,0 days 00:00:24.419000,HARD,23.0,2.0,,,15.0,False,1
ALB,23,Williams,28.0,0 days 00:01:21.033000,81.033,0 days 00:00:24.010000,0 days 00:00:32.613000,0 days 00:00:24.410000,HARD,12.0,2.0,,,16.0,False,1
SAR,2,Williams,28.0,0 days 00:01:20.834000,80.834,0 days 00:00:23.793000,0 days 00:00:32.585000,0 days 00:00:24.456000,HARD,11.0,2.0,,,17.0,False,1
HUL,27,Haas F1 Team,28.0,0 days 00:01:18.959000,78.959,0 days 00:00:23.706000,0 days 00:00:31.718000,0 days 00:00:23.535000,HARD,2.0,3.0,,,18.0,True,1
MAG,20,Haas F1 Team,28.0,0 days 00:01:19.264000,79.264,0 days 00:00:23.482000,0 days 00:00:31.765000,0 days 00:00:24.017000,HARD,4.0,3.0,,,19.0,False,1
NOR,4,McLaren,28.0,0 days 00:01:20.091000,80.091,0 days 00:00:23.906000,0 days 00:00:32.080000,0 days 00:00:24.105000,MEDIUM,6.0,3.0,,,20.0,False,1
VER,1,Red Bull Racing,29.0,0 days 00:01:18.860000,78.86,0 days 00:00:23.579000,0 days 00:00:31.646000,0 days 00:00:23.635000,HARD,3.0,2.0,,,1.0,False,1
HAM,44,Mercedes,29.0,0 days 00:01:19.800000,79.8,0 days 00:00:23.871000,0 days 00:00:32.074000,0 days 00:00:23.855000,MEDIUM,5.0,2.0,,,2.0,False,1
SAI,55,Ferrari,29.0,0 days 00:01:20.687000,80.687,0 days 00:00:23.903000,0 days 00:00:32.444000,0 days 00:00:24.340000,MEDIUM,14.0,2.0,,,3.0,False,1
RUS,63,Mercedes,29.0,0 days 00:01:19.199000,79.199,0 days 00:00:23.601000,0 days 00:00:31.828000,0 days 00:00:23.770000,MEDIUM,4.0,2.0,,,4.0,False,1
STR,18,Aston Martin,29.0,0 days 00:01:20.575000,80.575,0 days 00:00:23.905000,0 days 00:00:32.346000,0 days 00:00:24.324000,SOFT,18.0,2.0,,,5.0,False,1
OCO,31,Alpine,29.0,0 days 00:01:20.341000,80.341,0 days 00:00:23.841000,0 days 00:00:32.318000,0 days 00:00:24.182000,MEDIUM,16.0,2.0,,,6.0,False,1
TSU,22,AlphaTauri,29.0,0 days 00:01:20.372000,80.372,0 days 00:00:23.581000,0 days 00:00:32.373000,0 days 00:00:24.418000,HARD,19.0,2.0,,,7.0,False,1
ALO,14,Aston Martin,29.0,0 days 00:01:20.239000,80.239,0 days 00:00:23.899000,0 days 00:00:32.142000,0 days 00:00:24.198000,SOFT,13.0,2.0,,,8.0,True,1
PER,11,Red Bull Racing,29.0,0 days 00:01:18.645000,78.645,0 days 00:00:23.576000,0 days 00:00:31.566000,0 days 00:00:23.503000,HARD,2.0,2.0,,,9.0,True,1
ZHO,24,Alfa Romeo,29.0,0 days 00:01:20.508000,80.508,0 days 00:00:23.936000,0 days 00:00:32.388000,0 days 00:00:24.184000,HARD,20.0,2.0,,,10.0,False,1
PIA,81,McLaren,29.0,0 days 00:01:20.352000,80.352,0 days 00:00:23.845000,0 days 00:00:32.289000,0 days 00:00:24.218000,HARD,12.0,2.0,,,11.0,False,1
GAS,10,Alpine,29.0,0 days 00:01:20.141000,80.141,0 days 00:00:23.690000,0 days 00:00:32.277000,0 days 00:00:24.174000,MEDIUM,10.0,2.0,,,12.0,False,1
LEC,16,Ferrari,29.0,0 days 00:01:20.348000,80.348,0 days 00:00:23.849000,0 days 00:00:32.147000,0 days 00:00:24.352000,SOFT,13.0,2.0,,,13.0,False,1
DEV,21,AlphaTauri,29.0,0 days 00:01:20.497000,80.497,0 days 00:00:23.927000,0 days 00:00:32.330000,0 days 00:00:24.240000,HARD,20.0,2.0,,,14.0,True,1
BOT,77,Alfa Romeo,29.0,0 days 00:01:21.141000,81.141,0 days 00:00:24.126000,0 days 00:00:32.542000,0 days 00:00:24.473000,HARD,24.0,2.0,,,15.0,False,1
ALB,23,Williams,29.0,0 days 00:01:20.895000,80.895,0 days 00:00:23.959000,0 days 00:00:32.542000,0 days 00:00:24.394000,HARD,13.0,2.0,,,16.0,False,1
SAR,2,Williams,29.0,0 days 00:01:20.844000,80.844,0 days 00:00:23.827000,0 days 00:00:32.665000,0 days 00:00:24.352000,HARD,12.0,2.0,,,17.0,False,1
HUL,27,Haas F1 Team,29.0,0 days 00:01:18.981000,78.981,0 days 00:00:23.559000,0 days 00:00:31.669000,0 days 00:00:23.753000,HARD,3.0,3.0,,,18.0,False,1
MAG,20,Haas F1 Team,29.0,0 days 00:01:19.627000,79.627,0 days 00:00:23.642000,0 days 00:00:31.940000,0 days 00:00:24.045000,HARD,5.0,3.0,,,19.0,False,1
NOR,4,McLaren,29.0,0 days 00:01:20.076000,80.076,0 days 00:00:23.920000,0 days 00:00:31.923000,0 days 00:00:24.233000,MEDIUM,7.0,3.0,,,20.0,False,1
VER,1,Red Bull Racing,30.0,0 days 00:01:18.976000,78.976,0 days 00:00:23.717000,0 days 00:00:31.619000,0 days 00:00:23.640000,HARD,4.0,2.0,,,1.0,False,1
HAM,44,Mercedes,30.0,0 days 00:01:19.292000,79.292,0 days 00:00:23.683000,0 days 00:00:31.794000,0 days 00:00:23.815000,MEDIUM,6.0,2.0,,,2.0,False,1
SAI,55,Ferrari,30.0,0 days 00:01:20.257000,80.257,0 days 00:00:23.803000,0 days 00:00:32.229000,0 days 00:00:24.225000,MEDIUM,15.0,2.0,,,3.0,False,1
RUS,63,Mercedes,30.0,0 days 00:01:19.362000,79.362,0 days 00:00:23.770000,0 days 00:00:31.747000,0 days 00:00:23.845000,MEDIUM,5.0,2.0,,,4.0,False,1
