Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
OCO,Alpine,6,,MEDIUM,
ZHO,Alfa Romeo,9,10.0,MEDIUM,HARD
ALB,Williams,10,11.0,MEDIUM,HARD
BOT,Alfa Romeo,10,11.0,MEDIUM,HARD
MAG,Haas F1 Team,10,11.0,MEDIUM,HARD
PIA,McLaren,10,,MEDIUM,
SAR,Williams,11,12.0,MEDIUM,HARD
VER,Red Bull Racing,16,17.0,MEDIUM,MEDIUM
NOR,McLaren,17,18.0,MEDIUM,HARD
PER,Red Bull Racing,17,18.0,MEDIUM,MEDIUM
SAI,Ferrari,17,18.0,MEDIUM,MEDIUM
TSU,AlphaTauri,17,18.0,MEDIUM,HARD
GAS,Alpine,18,19.0,MEDIUM,MEDIUM
ALO,Aston Martin,19,20.0,MEDIUM,MEDIUM
HUL,Haas F1 Team,19,20.0,HARD,MEDIUM
HAM,Mercedes,20,21.0,MEDIUM,HARD
STR,Aston Martin,20,21.0,HARD,MEDIUM
RUS,Mercedes,21,22.0,MEDIUM,HARD
RIC,AlphaTauri,22,23.0,MEDIUM,HARD
LEC,Ferrari,23,24.0,MEDIUM,HARD
ZHO,Alfa Romeo,27,28.0,HARD,HARD
BOT,Alfa Romeo,28,29.0,HARD,HARD
ALB,Williams,29,30.0,HARD,MEDIUM
MAG,Haas F1 Team,29,30.0,HARD,MEDIUM
SAR,Williams,32,33.0,HARD,MEDIUM
HUL,Haas F1 Team,34,35.0,MEDIUM,MEDIUM
NOR,McLaren,34,35.0,HARD,HARD
TSU,AlphaTauri,34,35.0,HARD,MEDIUM
SAI,Ferrari,35,36.0,MEDIUM,HARD
VER,Red Bull Racing,35,36.0,MEDIUM,HARD
GAS,Alpine,37,38.0,MEDIUM,HARD
PER,Red Bull Racing,37,38.0,MEDIUM,HARD
HAM,Mercedes,38,39.0,HARD,MEDIUM
RUS,Mercedes,39,40.0,HARD,MEDIUM
STR,Aston Martin,40,41.0,MEDIUM,MEDIUM
ALO,Aston Martin,42,43.0,MEDIUM,HARD
RIC,AlphaTauri,47,48.0,HARD,SOFT
ALO,Aston Martin,49,,HARD,
TSU,AlphaTauri,54,55.0,MEDIUM,SOFT
