Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
ALB,Williams,1,2,MEDIUM,HARD
ALO,Aston Martin,1,2,HARD,MEDIUM
BOT,Kick Sauber,1,2,HARD,MEDIUM
GAS,Alpine,1,2,HARD,MEDIUM
HAM,Mercedes,1,3,HARD,MEDIUM
LEC,Ferrari,1,3,MEDIUM,HARD
NOR,McLaren,1,3,MEDIUM,HARD
PIA,McLaren,1,3,MEDIUM,HARD
RIC,RB,1,2,MEDIUM,HARD
RUS,Mercedes,1,3,HARD,MEDIUM
SAI,Ferrari,1,3,MEDIUM,HARD
SAR,Williams,1,2,HARD,HARD
STR,Aston Martin,1,2,HARD,MEDIUM
TSU,RB,1,2,MEDIUM,HARD
VER,Red Bull Racing,1,3,HARD,MEDIUM
ZHO,Kick Sauber,1,2,MEDIUM,HARD
BOT,Kick Sauber,15,16,MEDIUM,HARD
STR,Aston Martin,42,43,MEDIUM,HARD
STR,Aston Martin,48,49,HARD,SOFT
HAM,Mercedes,51,52,MEDIUM,HARD
VER,Red Bull Racing,52,53,MEDIUM,HARD
SAR,Williams,57,58,HARD,MEDIUM
ZHO,Kick Sauber,70,71,HARD,SOFT
