pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,NOR,McLaren,4,72,78.284,78.342,75.742,1.315,0.263
2,HAM,Mercedes,44,70,78.021,78.416,74.165,2.103,0.0
3,PIA,McLaren,81,72,78.294,78.42,76.281,1.243,0.273
4,VER,Red Bull Racing,1,70,78.06,78.443,74.569,1.992,0.039
5,LEC,Ferrari,16,72,78.211,78.465,75.162,1.395,0.19
6,SAI,Ferrari,55,72,78.291,78.501,74.726,1.458,0.27
7,RUS,Mercedes,63,72,78.313,78.526,75.228,1.779,0.292
8,STR,Aston Martin,18,66,79.661,79.672,76.71,1.533,1.64
9,GAS,Alpine,10,71,79.987,79.977,75.625,1.338,1.966
10,TSU,RB,22,71,79.69,80.117,74.72,1.699,1.669
11,ALB,Williams,23,71,79.919,80.143,77.06,1.347,1.898
12,BOT,Kick Sauber,77,68,80.054,80.396,76.561,1.578,2.033
13,ALO,Aston Martin,14,70,80.31,80.602,77.939,1.321,2.289
14,RIC,RB,3,70,80.285,80.76,77.172,1.363,2.264
15,SAR,Williams,2,68,80.1,80.82,75.525,2.113,2.079
16,ZHO,Kick Sauber,24,68,80.617,80.908,74.718,1.492,2.596
