constructor,constructor_id,constructor_nationality,driver_code,driver_id,driver_name,driver_nationality,driver_number,event_id,event_name,position,q1,q2,q3,round,year
McLaren,mclaren,British,,hakkinen,Mika Häkkinen,Finnish,8,1998-melbourne,Australian Grand Prix,1,1:30.010,,,1,1998
McLaren,mclaren,British,COU,coulthard,David Coulthard,British,7,1998-melbourne,Australian Grand Prix,2,1:30.053,,,1,1998
Ferrari,ferrari,Italian,MSC,michael_schumacher,Michael Schumacher,German,3,1998-melbourne,Australian Grand Prix,3,1:30.767,,,1,1998
Williams,williams,British,VIL,villeneuve,Jacques Villeneuve,Canadian,1,1998-melbourne,Australian Grand Prix,4,1:30.919,,,1,1998
Sauber,sauber,Swiss,,herbert,Johnny Herbert,British,15,1998-melbourne,Australian Grand Prix,5,1:31.384,,,1,1998
Williams,williams,British,,frentzen,Heinz-Harald Frentzen,German,2,1998-melbourne,Australian Grand Prix,6,1:31.397,,,1,1998
Benetton,benetton,Italian,FIS,fisichella,Giancarlo Fisichella,Italian,5,1998-melbourne,Australian Grand Prix,7,1:31.733,,,1,1998
Ferrari,ferrari,Italian,,irvine,Eddie Irvine,British,4,1998-melbourne,Australian Grand Prix,8,1:31.767,,,1,1998
Jordan,jordan,Irish,SCH,ralf_schumacher,Ralf Schumacher,German,10,1998-melbourne,Australian Grand Prix,9,1:32.392,,,1,1998
Jordan,jordan,Irish,,damon_hill,Damon Hill,British,9,1998-melbourne,Australian Grand Prix,10,1:32.399,,,1,1998
Benetton,benetton,Italian,WUR,wurz,Alexander Wurz,Austrian,6,1998-melbourne,Australian Grand Prix,11,1:32.726,,,1,1998
Sauber,sauber,Swiss,,alesi,Jean Alesi,French,14,1998-melbourne,Australian Grand Prix,12,1:33.240,,,1,1998
Tyrrell,tyrrell,British,,takagi,Toranosuke Takagi,Japanese,21,1998-melbourne,Australian Grand Prix,13,1:33.291,,,1,1998
Stewart,stewart,British,BAR,barrichello,Rubens Barrichello,Brazilian,18,1998-melbourne,Australian Grand Prix,14,1:33.383,,,1,1998
Prost,prost,French,TRU,trulli,Jarno Trulli,Italian,12,1998-melbourne,Australian Grand Prix,15,1:33.739,,,1,1998
Arrows,arrows,British,,salo,Mika Salo,Finnish,17,1998-melbourne,Australian Grand Prix,16,1:33.927,,,1,1998
Minardi,minardi,Italian,,tuero,Esteban Tuero,Argentine,23,1998-melbourne,Australian Grand Prix,17,1:34.646,,,1,1998
Stewart,stewart,British,MAG,magnussen,Jan Magnussen,Danish,19,1998-melbourne,Australian Grand Prix,18,1:34.906,,,1,1998
Tyrrell,tyrrell,British,,rosset,Ricardo Rosset,Brazilian,20,1998-melbourne,Australian Grand Prix,19,1:35.119,,,1,1998
