Driver,DriverNumber,Team,LapNumber,LapTime,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,IsAccurate,TrackStatus,Deleted,DeletedReason,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds
PIA,81,McLaren,47,0 days 00:01:29.049000,3.0,,,0 days 00:00:28.946000,0 days 00:00:35.830000,0 days 00:00:24.273000,293.0,265.0,251.0,300.0,MEDIUM,9.0,True,True,1,,,89.049,28.946,35.83,24.273
PIA,81,McLaren,48,0 days 00:01:29.124000,3.0,,,0 days 00:00:28.937000,0 days 00:00:35.851000,0 days 00:00:24.336000,,264.0,251.0,301.0,MEDIUM,10.0,True,True,1,,,89.124,28.937,35.851,24.336
PIA,81,McLaren,49,0 days 00:01:29.283000,3.0,,,0 days 00:00:29.008000,0 days 00:00:35.970000,0 days 00:00:24.305000,294.0,263.0,252.0,300.0,MEDIUM,11.0,True,True,1,,,89.283,29.008,35.97,24.305
PIA,81,McLaren,50,0 days 00:01:29.958000,3.0,,,0 days 00:00:28.958000,0 days 00:00:36.072000,0 days 00:00:24.928000,295.0,262.0,252.0,297.0,MEDIUM,12.0,True,True,1,,,89.958,28.958,36.072,24.928
PIA,81,McLaren,51,0 days 00:01:28.748000,3.0,,,0 days 00:00:28.871000,0 days 00:00:35.704000,0 days 00:00:24.173000,302.0,266.0,254.0,308.0,MEDIUM,13.0,True,True,1,,,88.748,28.871,35.704,24.173
PIA,81,McLaren,52,0 days 00:01:29.928000,3.0,,,0 days 00:00:29.094000,0 days 00:00:35.999000,0 days 00:00:24.835000,294.0,265.0,253.0,302.0,MEDIUM,14.0,True,True,1,,,89.928,29.094,35.999,24.835
SAI,55,Ferrari,1,0 days 00:01:38.699000,1.0,,,,0 days 00:00:38.756000,0 days 00:00:25.970000,292.0,256.0,245.0,296.0,MEDIUM,1.0,True,False,1,,,98.699,,38.756,25.97
SAI,55,Ferrari,2,0 days 00:01:32.359000,1.0,,,0 days 00:00:29.435000,0 days 00:00:37.736000,0 days 00:00:25.188000,311.0,261.0,246.0,322.0,MEDIUM,2.0,True,True,1,,,92.359,29.435,37.736,25.188
SAI,55,Ferrari,3,0 days 00:01:32.102000,1.0,,,0 days 00:00:29.321000,0 days 00:00:37.663000,0 days 00:00:25.118000,314.0,259.0,246.0,320.0,MEDIUM,3.0,True,True,1,,,92.102,29.321,37.663,25.118
SAI,55,Ferrari,4,0 days 00:01:32.045000,1.0,,,0 days 00:00:29.360000,0 days 00:00:37.633000,0 days 00:00:25.052000,312.0,259.0,246.0,319.0,MEDIUM,4.0,True,True,1,,,92.045,29.36,37.633,25.052
SAI,55,Ferrari,5,0 days 00:01:31.939000,1.0,,,0 days 00:00:29.331000,0 days 00:00:37.591000,0 days 00:00:25.017000,313.0,260.0,247.0,319.0,MEDIUM,5.0,True,True,1,,,91.939,29.331,37.591,25.017
SAI,55,Ferrari,6,0 days 00:01:31.900000,1.0,,,0 days 00:00:29.439000,0 days 00:00:37.353000,0 days 00:00:25.108000,309.0,259.0,246.0,317.0,MEDIUM,6.0,True,True,1,,,91.9,29.439,37.353,25.108
SAI,55,Ferrari,7,0 days 00:01:32.702000,1.0,,,0 days 00:00:29.762000,0 days 00:00:37.509000,0 days 00:00:25.431000,293.0,258.0,246.0,297.0,MEDIUM,7.0,True,True,1,,,92.702,29.762,37.509,25.431
SAI,55,Ferrari,8,0 days 00:01:32.372000,1.0,,,0 days 00:00:29.672000,0 days 00:00:37.336000,0 days 00:00:25.364000,292.0,258.0,246.0,299.0,MEDIUM,8.0,True,True,1,,,92.372,29.672,37.336,25.364
SAI,55,Ferrari,9,0 days 00:01:32.484000,1.0,,,0 days 00:00:29.752000,0 days 00:00:37.337000,0 days 00:00:25.395000,291.0,258.0,246.0,297.0,MEDIUM,9.0,True,True,1,,,92.484,29.752,37.337,25.395
SAI,55,Ferrari,10,0 days 00:01:32.362000,1.0,,,0 days 00:00:29.680000,0 days 00:00:37.376000,0 days 00:00:25.306000,292.0,258.0,246.0,298.0,MEDIUM,10.0,True,True,1,,,92.362,29.68,37.376,25.306
SAI,55,Ferrari,11,0 days 00:01:32.123000,1.0,,,0 days 00:00:29.493000,0 days 00:00:37.367000,0 days 00:00:25.263000,295.0,258.0,245.0,298.0,MEDIUM,11.0,True,True,1,,,92.123,29.493,37.367,25.263
SAI,55,Ferrari,12,0 days 00:01:32.358000,1.0,,,0 days 00:00:29.645000,0 days 00:00:37.317000,0 days 00:00:25.396000,291.0,259.0,246.0,296.0,MEDIUM,12.0,True,True,1,,,92.358,29.645,37.317,25.396
SAI,55,Ferrari,13,0 days 00:01:32.251000,1.0,,,0 days 00:00:29.646000,0 days 00:00:37.287000,0 days 00:00:25.318000,290.0,260.0,247.0,298.0,MEDIUM,13.0,True,True,1,,,92.251,29.646,37.287,25.318
SAI,55,Ferrari,14,0 days 00:01:32.106000,1.0,,,0 days 00:00:29.553000,0 days 00:00:37.357000,0 days 00:00:25.196000,293.0,257.0,246.0,299.0,MEDIUM,14.0,True,True,1,,,92.106,29.553,37.357,25.196
SAI,55,Ferrari,15,0 days 00:01:31.916000,1.0,,,0 days 00:00:29.616000,0 days 00:00:37.240000,0 days 00:00:25.060000,292.0,259.0,247.0,299.0,MEDIUM,15.0,True,True,1,,,91.916,29.616,37.24,25.06
SAI,55,Ferrari,16,0 days 00:01:32.455000,1.0,,,0 days 00:00:29.680000,0 days 00:00:37.234000,0 days 00:00:25.541000,289.0,259.0,247.0,297.0,MEDIUM,16.0,True,True,1,,,92.455,29.68,37.234,25.541
SAI,55,Ferrari,17,0 days 00:01:34.228000,1.0,,,0 days 00:00:29.613000,0 days 00:00:37.444000,0 days 00:00:27.171000,,256.0,238.0,299.0,MEDIUM,17.0,True,True,1,,,94.228,29.613,37.444,27.171
SAI,55,Ferrari,18,0 days 00:01:34.310000,1.0,,,0 days 00:00:29.965000,0 days 00:00:37.529000,0 days 00:00:26.816000,291.0,255.0,233.0,302.0,MEDIUM,18.0,True,True,1,,,94.31,29.965,37.529,26.816
SAI,55,Ferrari,19,0 days 00:01:40.510000,1.0,,,0 days 00:00:33.076000,0 days 00:00:40.106000,0 days 00:00:27.328000,290.0,237.0,239.0,300.0,MEDIUM,19.0,True,True,1,,,100.51,33.076,40.106,27.328
SAI,55,Ferrari,20,0 days 00:01:36.538000,1.0,,,0 days 00:00:31.652000,0 days 00:00:38.765000,0 days 00:00:26.121000,294.0,251.0,245.0,307.0,MEDIUM,20.0,True,True,1,,,96.538,31.652,38.765,26.121
SAI,55,Ferrari,21,0 days 00:01:33.507000,1.0,,,0 days 00:00:29.930000,0 days 00:00:38.019000,0 days 00:00:25.558000,,256.0,248.0,304.0,MEDIUM,21.0,True,True,1,,,93.507,29.93,38.019,25.558
