Driver,DriverNumber,Team,LapNumber,LapTime,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,IsAccurate,TrackStatus,Deleted,DeletedReason,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds
RUS,63,Mercedes,26,,7.0,,0 days 01:24:55.397000,0 days 00:00:40.333000,0 days 00:00:46.264000,,219.0,214.0,,219.0,SOFT,3.0,True,False,1,,,,40.333,46.264,
HAM,44,Mercedes,1,,1.0,0 days 00:13:27.607000,,,0 days 00:00:44.887000,0 days 00:00:29.152000,278.0,232.0,230.0,281.0,INTERMEDIATE,1.0,True,False,1,,,,,44.887,29.152
HAM,44,Mercedes,2,0 days 00:01:37.759000,1.0,,,0 days 00:00:31.107000,0 days 00:00:39.548000,0 days 00:00:27.104000,291.0,238.0,231.0,298.0,INTERMEDIATE,2.0,True,True,1,,,97.759,31.107,39.548,27.104
HAM,44,Mercedes,3,0 days 00:02:02.763000,1.0,,,0 days 00:00:40.701000,0 days 00:00:51.275000,0 days 00:00:30.787000,200.0,226.0,232.0,257.0,INTERMEDIATE,3.0,True,True,1,,,122.763,40.701,51.275,30.787
HAM,44,Mercedes,4,0 days 00:01:37.134000,1.0,,,0 days 00:00:30.696000,0 days 00:00:39.352000,0 days 00:00:27.086000,292.0,246.0,234.0,298.0,INTERMEDIATE,4.0,True,True,1,,,97.134,30.696,39.352,27.086
HAM,44,Mercedes,5,0 days 00:01:46.464000,1.0,,0 days 00:22:12.579000,0 days 00:00:33.450000,0 days 00:00:43.515000,0 days 00:00:29.499000,262.0,234.0,,275.0,INTERMEDIATE,5.0,True,False,1,,,106.464,33.45,43.515,29.499
HAM,44,Mercedes,6,,2.0,0 days 00:22:52.793000,0 days 00:24:51.705000,,,,,,,,SOFT,1.0,True,False,125,,,,,,
HAM,44,Mercedes,7,,3.0,0 days 00:32:54.328000,,,0 days 00:00:40.935000,0 days 00:00:27.964000,283.0,244.0,235.0,286.0,SOFT,1.0,True,False,1,,,,,40.935,27.964
HAM,44,Mercedes,8,0 days 00:01:32.198000,3.0,,,0 days 00:00:29.571000,0 days 00:00:37.473000,0 days 00:00:25.154000,,259.0,246.0,290.0,SOFT,2.0,True,True,1,,,92.198,29.571,37.473,25.154
HAM,44,Mercedes,9,0 days 00:01:42.439000,3.0,,,0 days 00:00:31.081000,0 days 00:00:42.332000,0 days 00:00:29.026000,282.0,241.0,243.0,285.0,SOFT,3.0,True,True,1,,,102.439,31.081,42.332,29.026
HAM,44,Mercedes,10,0 days 00:01:29.547000,3.0,,,0 days 00:00:28.925000,0 days 00:00:35.670000,0 days 00:00:24.952000,292.0,262.0,243.0,300.0,SOFT,4.0,True,True,1,,,89.547,28.925,35.67,24.952
HAM,44,Mercedes,11,0 days 00:01:42.819000,3.0,,0 days 00:40:59.663000,0 days 00:00:32.216000,0 days 00:00:41.326000,0 days 00:00:29.277000,266.0,243.0,,280.0,SOFT,5.0,True,False,1,,,102.819,32.216,41.326,29.277
HAM,44,Mercedes,12,,4.0,0 days 00:48:24.766000,,,0 days 00:00:39.638000,0 days 00:00:26.365000,147.0,245.0,250.0,301.0,SOFT,6.0,False,False,1,,,,,39.638,26.365
HAM,44,Mercedes,13,0 days 00:01:28.285000,4.0,,,0 days 00:00:28.412000,0 days 00:00:35.730000,0 days 00:00:24.143000,304.0,265.0,251.0,309.0,SOFT,7.0,False,True,1,,,88.285,28.412,35.73,24.143
HAM,44,Mercedes,14,0 days 00:01:27.549000,4.0,,,0 days 00:00:28.504000,0 days 00:00:35.321000,0 days 00:00:23.724000,293.0,262.0,251.0,319.0,SOFT,8.0,False,True,1,,,87.549,28.504,35.321,23.724
HAM,44,Mercedes,15,0 days 00:01:36.690000,4.0,,0 days 00:54:40.314000,0 days 00:00:31.354000,0 days 00:00:39.502000,0 days 00:00:25.834000,270.0,246.0,,303.0,SOFT,9.0,False,False,1,,,96.69,31.354,39.502,25.834
