Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
ERI,Sauber,1,2.0,nan,SUPERSOFT
HUL,Renault,1,2.0,nan,SOFT
RIC,Red Bull Racing,1,2.0,nan,SUPERSOFT
VET,Ferrari,1,2.0,nan,SOFT
MAG,Haas F1 Team,4,5.0,SOFT,MEDIUM
ALO,McLaren,9,,SUPERSOFT,
RAI,Ferrari,20,21.0,SUPERSOFT,SOFT
GRO,Haas F1 Team,23,24.0,SUPERSOFT,SOFT
VAN,McLaren,24,25.0,SUPERSOFT,SOFT
VER,Red Bull Racing,26,27.0,SUPERSOFT,SOFT
HAM,Mercedes,28,29.0,SUPERSOFT,SOFT
VET,Ferrari,29,30.0,SOFT,SUPERSOFT
GAS,Toro Rosso,34,35.0,SUPERSOFT,SOFT
LEC,Sauber,34,35.0,SOFT,SUPERSOFT
STR,Williams,35,36.0,SUPERSOFT,SOFT
BOT,Mercedes,36,37.0,SUPERSOFT,SOFT
SIR,Williams,37,38.0,SUPERSOFT,SOFT
OCO,Racing Point,38,39.0,SUPERSOFT,SOFT
PER,Racing Point,39,40.0,SUPERSOFT,SOFT
SAI,Renault,39,40.0,SUPERSOFT,SOFT
HUL,Renault,41,42.0,SOFT,SUPERSOFT
ERI,Sauber,42,43.0,SUPERSOFT,SUPERSOFT
