pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,VER,Red Bull Racing,33,65,69.169,68.992,68.017,0.542,0.0
2,PER,Red Bull Racing,11,63,69.462,69.284,67.894,0.824,0.293
3,HAM,Mercedes,44,63,69.352,69.394,67.058,0.605,0.183
4,BOT,Mercedes,77,65,69.782,69.693,68.619,0.653,0.613
5,NOR,McLaren,4,64,70.129,69.95,68.903,0.772,0.96
6,SAI,Ferrari,55,64,70.2,69.986,68.609,1.089,1.031
7,LEC,Ferrari,16,62,70.024,70.303,68.738,0.853,0.855
8,STR,Aston Martin,18,62,70.698,70.33,69.787,0.753,1.529
9,TSU,AlphaTauri,22,64,70.664,70.364,69.65,0.731,1.495
10,VET,Aston Martin,5,64,70.757,70.37,69.821,0.717,1.588
11,ALO,Alpine,14,64,70.681,70.455,69.749,0.698,1.512
12,GIO,Alfa Romeo Racing,99,64,70.833,70.568,69.723,0.763,1.664
13,RAI,Alfa Romeo Racing,7,64,70.659,70.596,69.128,0.824,1.49
14,OCO,Alpine,31,64,70.786,70.943,69.576,0.861,1.617
15,RIC,McLaren,3,64,70.733,70.95,69.305,0.837,1.564
16,LAT,Williams,6,60,71.159,71.072,70.104,0.851,1.99
17,RUS,Williams,63,30,71.418,71.5,70.499,0.395,2.249
18,MSC,Haas F1 Team,47,63,71.638,71.826,70.005,1.058,2.469
19,MAZ,Haas F1 Team,9,62,72.192,72.172,70.951,0.673,3.023
