Compound,laps,drivers,average_lap_seconds,best_lap_seconds,share
INTERMEDIATE,561,19,96.155,87.031,0.66
SOFT,237,15,83.932,76.645,0.2788
WET,48,19,107.243,94.72,0.0565
MEDIUM,4,2,111.462,101.121,0.0047
