pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,HAM,Mercedes,44,64,82.5,82.452,81.107,0.893,0.099
2,RAI,Ferrari,7,62,82.401,82.488,80.292,1.19,0.0
3,RIC,Red Bull Racing,3,64,82.905,82.629,80.012,1.664,0.504
4,VET,Ferrari,5,64,82.758,82.652,80.056,1.153,0.357
5,BOT,Mercedes,77,64,83.303,83.059,81.736,1.37,0.902
6,MAG,Haas F1 Team,20,63,83.694,83.457,81.302,1.364,1.293
7,GAS,Toro Rosso,10,64,83.42,83.466,81.685,1.031,1.019
8,ALO,McLaren,14,63,84.254,84.054,82.09,1.562,1.853
9,PER,Force India,11,63,84.666,84.207,83.263,1.197,2.265
10,VAN,McLaren,2,44,84.559,84.219,83.077,1.155,2.158
11,SAI,Renault,55,63,84.454,84.323,82.774,1.087,2.053
12,HAR,Toro Rosso,28,63,84.466,84.389,82.612,1.215,2.065
13,GRO,Haas F1 Team,8,63,84.416,84.419,82.606,1.346,2.015
14,HUL,Renault,27,61,84.229,84.481,81.261,1.354,1.828
15,VER,Red Bull Racing,33,5,85.612,84.485,83.985,2.916,3.211
16,OCO,Force India,31,63,84.494,84.526,82.876,1.145,2.093
17,ERI,Sauber,9,62,85.399,85.24,83.671,1.001,2.998
18,SIR,Williams,35,62,85.61,85.363,83.708,1.064,3.209
19,STR,Williams,18,61,85.544,85.462,82.66,1.396,3.143
