pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,VET,Ferrari,5,63,68.741,68.724,67.676,0.632,0.0
2,VER,Red Bull Racing,33,65,68.821,68.751,67.475,0.757,0.08
3,LEC,Ferrari,16,65,68.981,69.005,67.994,0.465,0.24
4,HAM,Mercedes,44,65,69.094,69.115,68.05,0.592,0.353
5,BOT,Mercedes,77,65,69.204,69.131,68.565,0.364,0.463
6,GRO,Haas F1 Team,8,64,70.338,69.669,68.987,1.136,1.597
7,GAS,Red Bull Racing,10,64,69.929,69.755,68.79,0.662,1.188
8,NOR,McLaren,4,64,69.847,69.837,68.699,0.626,1.106
9,PER,Racing Point,11,64,70.148,70.023,69.061,0.566,1.407
10,HUL,Renault,27,64,70.199,70.073,69.248,0.611,1.458
11,GIO,Alfa Romeo Racing,99,64,70.142,70.112,69.051,0.575,1.401
12,SAI,McLaren,55,64,70.015,70.13,68.117,0.961,1.274
13,RAI,Alfa Romeo Racing,7,64,70.148,70.144,69.126,0.565,1.407
14,STR,Racing Point,18,64,70.275,70.157,69.288,0.694,1.534
15,RIC,Renault,3,64,70.102,70.258,68.019,1.013,1.361
16,ALB,Toro Rosso,23,64,70.228,70.36,68.946,1.038,1.487
17,MAG,Haas F1 Team,20,59,70.75,70.37,68.903,0.991,2.009
18,KVY,Toro Rosso,26,64,70.63,70.438,69.498,0.858,1.889
19,RUS,Williams,63,62,70.948,70.582,69.926,0.823,2.207
20,KUB,Williams,88,62,72.03,72.064,70.964,0.705,3.289
