constructor,constructor_id,constructor_nationality,constructor_url,points,position,position_text,wins,year
Mercedes,mercedes,German,https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,703.0,1,1,16,2015
Ferrari,ferrari,Italian,https://en.wikipedia.org/wiki/Scuderia_Ferrari,428.0,2,2,3,2015
Williams,williams,British,https://en.wikipedia.org/wiki/Williams_Racing,257.0,3,3,0,2015
Red Bull,red_bull,Austrian,https://en.wikipedia.org/wiki/Red_Bull_Racing,187.0,4,4,0,2015
Force India,force_india,Indian,https://en.wikipedia.org/wiki/Racing_Point_Force_India,136.0,5,5,0,2015
Lotus F1,lotus_f1,British,https://en.wikipedia.org/wiki/Lotus_F1,78.0,6,6,0,2015
Toro Rosso,toro_rosso,Italian,https://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,67.0,7,7,0,2015
Sauber,sauber,Swiss,https://en.wikipedia.org/wiki/Sauber_Motorsport,36.0,8,8,0,2015
McLaren,mclaren,British,https://en.wikipedia.org/wiki/McLaren,27.0,9,9,0,2015
Manor Marussia,manor,British,https://en.wikipedia.org/wiki/Manor_Motorsport,0.0,10,10,0,2015
