pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,HAM,Mercedes,44,60,74.028,73.468,71.982,2.168,0.0
2,BOT,Mercedes,77,60,74.096,73.542,72.526,1.367,0.068
3,PER,Red Bull Racing,11,58,74.133,73.592,71.01,1.798,0.105
4,VER,Red Bull Racing,33,60,74.127,73.838,72.486,1.827,0.099
5,SAI,Ferrari,55,60,74.71,74.482,72.71,1.742,0.682
6,LEC,Ferrari,16,60,74.722,74.547,72.822,1.842,0.694
7,GAS,AlphaTauri,10,59,75.2,74.844,73.227,1.63,1.172
8,RAI,Alfa Romeo Racing,7,58,75.387,75.094,72.621,1.539,1.359
9,VET,Aston Martin,5,59,75.477,75.172,73.634,1.62,1.449
10,OCO,Alpine,31,61,75.662,75.31,74.43,1.079,1.634
11,ALO,Alpine,14,61,75.772,75.465,73.922,1.971,1.744
12,RIC,McLaren,3,40,75.874,75.547,74.443,1.786,1.846
13,NOR,McLaren,4,58,75.529,75.628,73.761,1.303,1.501
14,GIO,Alfa Romeo Racing,99,59,75.949,75.655,74.227,1.276,1.921
15,LAT,Williams,6,59,76.019,75.983,74.616,1.363,1.991
16,TSU,AlphaTauri,22,58,75.992,76.079,74.204,1.29,1.964
17,STR,Aston Martin,18,39,77.466,76.31,75.344,3.542,3.438
18,MSC,Haas F1 Team,47,57,76.453,76.316,73.793,1.508,2.425
19,RUS,Williams,63,60,76.267,76.398,74.355,1.4,2.239
20,MAZ,Haas F1 Team,9,60,77.232,77.258,74.954,1.833,3.204
