Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
LAW,Racing Bulls,2,3.0,SOFT,HARD
LAW,Racing Bulls,5,,HARD,
SAI,Williams,17,18.0,MEDIUM,SOFT
ALO,Aston Martin,20,21.0,SOFT,MEDIUM
ANT,Mercedes,22,23.0,SOFT,MEDIUM
HAM,Ferrari,23,24.0,SOFT,MEDIUM
BEA,Haas F1 Team,24,25.0,SOFT,MEDIUM
PIA,McLaren,24,25.0,SOFT,MEDIUM
HUL,Kick Sauber,25,,SOFT,
RUS,Mercedes,25,26.0,SOFT,MEDIUM
STR,Aston Martin,26,27.0,SOFT,MEDIUM
OCO,Haas F1 Team,27,28.0,SOFT,MEDIUM
LEC,Ferrari,31,32.0,SOFT,MEDIUM
GAS,Alpine,33,34.0,MEDIUM,SOFT
ALO,Aston Martin,34,,MEDIUM,
HAD,Racing Bulls,34,35.0,MEDIUM,SOFT
NOR,McLaren,34,35.0,SOFT,MEDIUM
TSU,Red Bull Racing,36,37.0,MEDIUM,SOFT
BOR,Kick Sauber,37,38.0,MEDIUM,SOFT
VER,Red Bull Racing,37,38.0,MEDIUM,SOFT
ALB,Williams,41,42.0,HARD,SOFT
STR,Aston Martin,43,44.0,MEDIUM,SOFT
SAI,Williams,46,47.0,SOFT,SOFT
ANT,Mercedes,47,48.0,MEDIUM,SOFT
HAM,Ferrari,47,48.0,MEDIUM,SOFT
PIA,McLaren,47,48.0,MEDIUM,SOFT
BEA,Haas F1 Team,48,49.0,MEDIUM,SOFT
COL,Alpine,48,49.0,HARD,SOFT
RUS,Mercedes,48,49.0,MEDIUM,SOFT
SAI,Williams,56,57.0,SOFT,SOFT
