pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,BOT,Mercedes,77,49,99.809,99.957,96.957,1.011,0.0
2,VER,Red Bull Racing,33,49,99.887,99.967,98.214,1.007,0.078
3,HAM,Mercedes,44,51,100.198,100.137,98.446,0.988,0.389
4,ALB,Red Bull Racing,23,47,100.42,100.303,98.029,1.216,0.611
5,LEC,Ferrari,16,49,100.454,100.487,96.169,1.497,0.645
6,KVY,Toro Rosso,26,48,101.649,101.35,98.969,1.464,1.84
7,NOR,McLaren,4,49,101.312,101.447,98.074,1.477,1.503
8,SAI,McLaren,55,50,102.024,101.522,100.844,0.999,2.215
9,RIC,Renault,3,51,101.728,101.705,100.564,0.783,1.919
10,RAI,Alfa Romeo Racing,7,48,101.865,101.714,99.608,1.063,2.056
11,GAS,Toro Rosso,10,47,102.16,101.728,100.85,0.942,2.351
12,HUL,Renault,27,48,101.724,101.738,98.437,1.687,1.915
13,PER,Racing Point,11,49,102.087,101.961,100.165,1.344,2.278
14,GIO,Alfa Romeo Racing,99,48,102.422,101.978,99.964,1.486,2.613
15,STR,Racing Point,18,48,102.152,102.054,100.38,1.037,2.343
16,MAG,Haas F1 Team,20,45,102.672,102.155,100.347,1.2,2.863
17,VET,Ferrari,5,7,103.304,102.603,102.165,1.64,3.495
18,GRO,Haas F1 Team,8,50,103.006,102.918,101.27,1.271,3.197
19,RUS,Williams,63,47,103.644,104.044,101.239,1.413,3.835
20,KUB,Williams,88,26,105.137,104.968,103.83,0.874,5.328
