Driver,DriverNumber,Team,LapNumber,LapTime,LapTimeSeconds,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitOutTime,PitInTime,Position,IsPersonalBest,TrackStatus
OCO,31,Renault,48.0,0 days 00:01:31.206000,91.206,0 days 00:00:29.049000,0 days 00:00:37.046000,0 days 00:00:25.111000,HARD,26.0,2.0,,,8.0,False,1
NOR,4,McLaren,48.0,0 days 00:01:31.075000,91.075,0 days 00:00:29.127000,0 days 00:00:36.930000,0 days 00:00:25.018000,HARD,19.0,3.0,,,9.0,False,1
KVY,26,AlphaTauri,48.0,0 days 00:01:30.852000,90.852,0 days 00:00:28.831000,0 days 00:00:36.958000,0 days 00:00:25.063000,MEDIUM,13.0,3.0,,,10.0,False,1
GAS,10,AlphaTauri,48.0,0 days 00:01:30.747000,90.747,0 days 00:00:28.892000,0 days 00:00:36.891000,0 days 00:00:24.964000,HARD,25.0,3.0,,,11.0,True,1
VET,5,Ferrari,48.0,0 days 00:01:30.914000,90.914,0 days 00:00:28.688000,0 days 00:00:37.220000,0 days 00:00:25.006000,MEDIUM,18.0,3.0,,,12.0,False,1
SAI,55,McLaren,48.0,0 days 00:01:30.864000,90.864,0 days 00:00:28.909000,0 days 00:00:36.865000,0 days 00:00:25.090000,HARD,14.0,3.0,,,13.0,False,1
RIC,3,Renault,48.0,0 days 00:01:31.517000,91.517,0 days 00:00:29.027000,0 days 00:00:37.360000,0 days 00:00:25.130000,MEDIUM,15.0,4.0,,,14.0,False,1
RAI,7,Alfa Romeo Racing,48.0,0 days 00:01:32.499000,92.499,0 days 00:00:29.342000,0 days 00:00:37.784000,0 days 00:00:25.373000,MEDIUM,22.0,2.0,,,15.0,False,1
GRO,8,Haas F1 Team,48.0,0 days 00:01:31.078000,91.078,0 days 00:00:28.991000,0 days 00:00:37.190000,0 days 00:00:24.897000,HARD,10.0,3.0,,,16.0,True,1
GIO,99,Alfa Romeo Racing,48.0,0 days 00:01:32.251000,92.251,0 days 00:00:29.148000,0 days 00:00:37.733000,0 days 00:00:25.370000,MEDIUM,15.0,3.0,,,17.0,False,1
RUS,63,Williams,48.0,0 days 00:01:32.526000,92.526,0 days 00:00:29.259000,0 days 00:00:37.833000,0 days 00:00:25.434000,MEDIUM,14.0,4.0,,,18.0,False,1
LAT,6,Williams,48.0,0 days 00:01:29.950000,89.95,0 days 00:00:28.660000,0 days 00:00:36.329000,0 days 00:00:24.961000,MEDIUM,2.0,4.0,,,19.0,True,1
VER,33,Red Bull Racing,49.0,0 days 00:01:29.523000,89.523,0 days 00:00:28.516000,0 days 00:00:36.263000,0 days 00:00:24.744000,HARD,17.0,3.0,,,1.0,False,1
BOT,77,Mercedes,49.0,0 days 00:01:30.554000,90.554,0 days 00:00:28.848000,0 days 00:00:36.471000,0 days 00:00:25.235000,HARD,17.0,3.0,,,2.0,False,1
HAM,44,Mercedes,49.0,0 days 00:01:29.887000,89.887,0 days 00:00:28.477000,0 days 00:00:36.393000,0 days 00:00:25.017000,HARD,8.0,3.0,,,3.0,False,1
LEC,16,Ferrari,49.0,0 days 00:01:32.063000,92.063,0 days 00:00:28.738000,0 days 00:00:37.753000,0 days 00:00:25.572000,HARD,31.0,2.0,,,4.0,False,1
STR,18,Racing Point,49.0,0 days 00:01:31.094000,91.094,0 days 00:00:29.148000,0 days 00:00:36.957000,0 days 00:00:24.989000,HARD,18.0,3.0,,,5.0,False,1
ALB,23,Red Bull Racing,49.0,0 days 00:01:30.255000,90.255,0 days 00:00:28.736000,0 days 00:00:36.642000,0 days 00:00:24.877000,HARD,19.0,3.0,,,6.0,False,1
HUL,27,Racing Point,49.0,0 days 00:01:30.785000,90.785,0 days 00:00:28.981000,0 days 00:00:36.793000,0 days 00:00:25.011000,SOFT,7.0,4.0,,,7.0,False,1
OCO,31,Renault,49.0,0 days 00:01:30.877000,90.877,0 days 00:00:28.866000,0 days 00:00:36.927000,0 days 00:00:25.084000,HARD,27.0,2.0,,,8.0,True,1
NOR,4,McLaren,49.0,0 days 00:01:30.698000,90.698,0 days 00:00:29.027000,0 days 00:00:36.639000,0 days 00:00:25.032000,HARD,20.0,3.0,,,9.0,True,1
KVY,26,AlphaTauri,49.0,0 days 00:01:30.932000,90.932,0 days 00:00:29.087000,0 days 00:00:36.835000,0 days 00:00:25.010000,MEDIUM,14.0,3.0,,,10.0,False,1
