pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,VER,Red Bull Racing,33,49,100.411,100.411,99.096,0.746,0.036
2,HAM,Mercedes,44,49,100.375,100.504,98.485,0.987,0.0
3,PER,Red Bull Racing,11,49,101.049,101.032,99.566,0.668,0.674
4,LEC,Ferrari,16,49,101.258,101.107,99.303,0.983,0.883
5,BOT,Mercedes,77,49,101.709,101.281,100.147,1.399,1.334
6,SAI,Ferrari,55,49,101.776,101.542,100.377,0.88,1.401
7,NOR,McLaren,4,49,101.761,101.577,100.228,1.052,1.386
8,RIC,McLaren,3,49,101.722,101.647,100.345,0.806,1.347
9,VET,Aston Martin,5,48,102.674,102.463,100.481,1.372,2.299
10,TSU,AlphaTauri,22,48,102.674,102.624,101.151,0.959,2.299
11,RAI,Alfa Romeo Racing,7,48,103.086,102.721,101.34,1.527,2.711
12,GIO,Alfa Romeo Racing,99,48,102.839,102.778,100.792,1.199,2.464
13,ALO,Alpine,14,39,102.641,103.025,100.067,1.654,2.266
14,STR,Aston Martin,18,48,103.105,103.094,101.189,1.209,2.73
15,RUS,Williams,63,48,103.232,103.495,101.12,1.193,2.857
16,LAT,Williams,6,48,103.601,103.68,101.818,1.021,3.226
17,OCO,Alpine,31,33,103.596,103.728,102.194,0.813,3.221
18,MSC,Haas F1 Team,47,47,103.992,103.949,101.395,1.38,3.617
19,GAS,AlphaTauri,10,10,104.205,104.193,102.015,1.406,3.83
20,MAZ,Haas F1 Team,9,45,104.999,105.006,102.886,1.464,4.624
