pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,NOR,McLaren,4,58,75.507,75.266,74.229,0.918,0.039
2,ANT,Mercedes,12,58,75.486,75.447,74.455,0.637,0.018
3,PIA,McLaren,81,58,75.517,75.485,74.255,0.748,0.049
4,LEC,Ferrari,16,58,75.755,75.508,74.261,0.776,0.287
5,RUS,Mercedes,63,58,75.468,75.564,74.119,0.613,0.0
6,VER,Red Bull Racing,1,58,75.482,75.59,74.287,0.64,0.014
7,HAM,Ferrari,44,58,76.12,76.157,74.805,0.67,0.652
8,ALO,Aston Martin,14,58,76.523,76.531,75.024,0.82,1.055
9,STR,Aston Martin,18,58,76.863,76.922,74.902,1.136,1.395
10,HUL,Kick Sauber,27,59,76.81,77.046,75.372,0.721,1.342
11,BEA,Haas F1 Team,87,59,77.081,77.064,75.397,0.88,1.613
12,OCO,Haas F1 Team,31,59,76.957,77.201,74.593,0.882,1.489
13,SAI,Williams,55,59,76.982,77.233,74.389,0.918,1.514
14,ALB,Williams,23,41,77.398,77.302,76.197,0.877,1.93
15,HAD,Racing Bulls,6,59,77.279,77.335,76.292,0.555,1.811
16,COL,Alpine,43,59,77.274,77.34,76.076,0.514,1.806
17,TSU,Red Bull Racing,22,59,77.219,77.345,75.358,0.656,1.751
18,BOR,Kick Sauber,5,59,77.267,77.545,75.414,0.853,1.799
19,GAS,Alpine,10,58,77.251,77.597,74.993,0.984,1.783
20,LAW,Racing Bulls,30,47,77.687,77.681,76.32,0.507,2.219
