constructor,points,wins,podiums,starts,position
Red Bull,498.0,9,20,38,1
McLaren,454.0,5,16,38,2
Ferrari,396.0,5,15,38,3
Mercedes,214.0,0,3,38,4
Renault,163.0,0,3,38,5
Williams,69.0,0,0,38,6
Force India,68.0,0,0,38,7
Sauber,44.0,0,0,38,8
Toro Rosso,13.0,0,0,38,9
HRT,0.0,0,0,38,10
Lotus,0.0,0,0,38,11
Virgin,0.0,0,0,38,12
