Driver,DriverNumber,Team,LapNumber,LapTime,LapTimeSeconds,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitOutTime,PitInTime,Position,IsPersonalBest,TrackStatus
OCO,31,Alpine,35.0,0 days 00:01:40.211000,100.211,0 days 00:00:34.351000,0 days 00:00:30.054000,0 days 00:00:35.806000,HARD,22.0,3.0,,,3.0,False,16
RIC,3,McLaren,35.0,0 days 00:01:39.221000,99.221,0 days 00:00:34.555000,0 days 00:00:29.552000,0 days 00:00:35.114000,MEDIUM,22.0,3.0,,,4.0,False,16
BOT,77,Mercedes,35.0,0 days 00:01:39.304000,99.304,0 days 00:00:34.442000,0 days 00:00:29.293000,0 days 00:00:35.569000,MEDIUM,20.0,4.0,,,5.0,False,16
GAS,10,AlphaTauri,35.0,0 days 00:01:41.734000,101.734,0 days 00:00:34.324000,0 days 00:00:29.881000,0 days 00:00:37.529000,HARD,22.0,3.0,,,6.0,False,16
GIO,99,Alfa Romeo Racing,35.0,0 days 00:01:44.409000,104.409,0 days 00:00:34.321000,0 days 00:00:29.657000,0 days 00:00:40.431000,HARD,22.0,3.0,,,7.0,False,167
SAI,55,Ferrari,35.0,0 days 00:01:46.186000,106.186,0 days 00:00:34.212000,0 days 00:00:29.360000,0 days 00:00:42.614000,MEDIUM,25.0,3.0,,,8.0,False,167
LEC,16,Ferrari,35.0,0 days 00:01:46.036000,106.036,0 days 00:00:33.897000,0 days 00:00:29.475000,0 days 00:00:42.664000,HARD,25.0,4.0,,,9.0,False,167
STR,18,Aston Martin,35.0,0 days 00:01:50.932000,110.932,0 days 00:00:35.617000,0 days 00:00:37.668000,0 days 00:00:37.647000,MEDIUM,20.0,4.0,,,10.0,False,167
NOR,4,McLaren,35.0,0 days 00:01:50.999000,110.999,0 days 00:00:35.958000,0 days 00:00:38.572000,0 days 00:00:36.469000,HARD,25.0,4.0,,,11.0,False,167
LAT,6,Williams,35.0,0 days 00:01:50.752000,110.752,0 days 00:00:34.548000,0 days 00:00:36.983000,0 days 00:00:39.221000,HARD,23.0,4.0,,,12.0,False,167
ALO,14,Alpine,35.0,0 days 00:01:49.736000,109.736,0 days 00:00:34.858000,0 days 00:00:40.102000,0 days 00:00:34.776000,HARD,25.0,4.0,,,13.0,False,167
VET,5,Aston Martin,35.0,0 days 00:01:49.652000,109.652,0 days 00:00:35.195000,0 days 00:00:40.681000,0 days 00:00:33.776000,MEDIUM,20.0,3.0,,,14.0,False,167
RAI,7,Alfa Romeo Racing,35.0,0 days 00:01:46.273000,106.273,0 days 00:00:46.296000,0 days 00:00:30.391000,0 days 00:00:29.586000,MEDIUM,14.0,4.0,,,15.0,False,167
TSU,22,AlphaTauri,35.0,0 days 00:01:44.602000,104.602,0 days 00:00:43.431000,0 days 00:00:32.149000,0 days 00:00:29.022000,HARD,14.0,4.0,,,16.0,False,167
VER,33,Red Bull Racing,36.0,0 days 00:01:43.722000,103.722,0 days 00:00:40.908000,0 days 00:00:34.379000,0 days 00:00:28.435000,MEDIUM,21.0,3.0,,,1.0,False,167
HAM,44,Mercedes,36.0,0 days 00:01:43.095000,103.095,0 days 00:00:40.472000,0 days 00:00:34.525000,0 days 00:00:28.098000,HARD,26.0,4.0,,,2.0,False,167
OCO,31,Alpine,36.0,0 days 00:01:38.191000,98.191,0 days 00:00:39.704000,0 days 00:00:29.453000,0 days 00:00:29.034000,HARD,23.0,3.0,,,3.0,False,671
RIC,3,McLaren,36.0,0 days 00:01:37.947000,97.947,0 days 00:00:39.744000,0 days 00:00:29.363000,0 days 00:00:28.840000,MEDIUM,23.0,3.0,,,4.0,False,671
BOT,77,Mercedes,36.0,0 days 00:01:37.318000,97.318,0 days 00:00:39.415000,0 days 00:00:29.203000,0 days 00:00:28.700000,MEDIUM,21.0,4.0,,,5.0,False,671
GAS,10,AlphaTauri,36.0,0 days 00:01:36.762000,96.762,0 days 00:00:37.713000,0 days 00:00:29.793000,0 days 00:00:29.256000,HARD,23.0,3.0,,,6.0,False,671
GIO,99,Alfa Romeo Racing,36.0,0 days 00:01:35.920000,95.92,0 days 00:00:36.960000,0 days 00:00:29.670000,0 days 00:00:29.290000,HARD,23.0,3.0,,,7.0,False,71
SAI,55,Ferrari,36.0,0 days 00:01:33.549000,93.549,0 days 00:00:35.237000,0 days 00:00:29.226000,0 days 00:00:29.086000,MEDIUM,26.0,3.0,,,8.0,False,71
LEC,16,Ferrari,36.0,0 days 00:01:33.209000,93.209,0 days 00:00:34.920000,0 days 00:00:29.359000,0 days 00:00:28.930000,HARD,26.0,4.0,,,9.0,False,71
STR,18,Aston Martin,36.0,0 days 00:01:33.966000,93.966,0 days 00:00:34.670000,0 days 00:00:29.845000,0 days 00:00:29.451000,MEDIUM,21.0,4.0,,,10.0,False,1
NOR,4,McLaren,36.0,0 days 00:01:33.675000,93.675,0 days 00:00:35.104000,0 days 00:00:29.373000,0 days 00:00:29.198000,HARD,26.0,4.0,,,11.0,False,1
