year,round,event_id,event_name,driver,driver_number,driver_name,team,position,q1,q2,q3
2010,2,2010-melbourne,Australian Grand Prix,BUE,16,Sébastien Buemi,Toro Rosso,12,0 days 00:01:26.061000,0 days 00:01:25.638000,
2010,2,2010-melbourne,Australian Grand Prix,LIU,15,Vitantonio Liuzzi,Force India,13,0 days 00:01:26.170000,0 days 00:01:25.743000,
2010,2,2010-melbourne,Australian Grand Prix,DLR,22,Pedro de la Rosa,Sauber,14,0 days 00:01:26.089000,0 days 00:01:25.747000,
2010,2,2010-melbourne,Australian Grand Prix,HUL,10,Nico Hülkenberg,Williams,15,0 days 00:01:25.866000,0 days 00:01:25.748000,
2010,2,2010-melbourne,Australian Grand Prix,KOB,23,Kamui Kobayashi,Sauber,16,0 days 00:01:26.251000,0 days 00:01:25.777000,
2010,2,2010-melbourne,Australian Grand Prix,ALG,17,Jaime Alguersuari,Toro Rosso,17,0 days 00:01:26.095000,0 days 00:01:26.089000,
2010,2,2010-melbourne,Australian Grand Prix,PET,12,Vitaly Petrov,Renault,18,0 days 00:01:26.471000,,
2010,2,2010-melbourne,Australian Grand Prix,KOV,19,Heikki Kovalainen,Lotus,19,0 days 00:01:28.797000,,
2010,2,2010-melbourne,Australian Grand Prix,TRU,18,Jarno Trulli,Lotus,20,0 days 00:01:29.111000,,
2010,2,2010-melbourne,Australian Grand Prix,GLO,24,Timo Glock,Virgin,21,0 days 00:01:29.592000,,
2010,2,2010-melbourne,Australian Grand Prix,DIG,25,Lucas di Grassi,Virgin,22,0 days 00:01:30.185000,,
2010,2,2010-melbourne,Australian Grand Prix,SEN,21,Bruno Senna,HRT,23,0 days 00:01:30.526000,,
2010,2,2010-melbourne,Australian Grand Prix,CHA,20,Karun Chandhok,HRT,24,0 days 00:01:30.613000,,
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,WEB,6,Mark Webber,Red Bull,1,0 days 00:01:51.886000,0 days 00:01:48.210000,0 days 00:01:49.327000
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,ROS,4,Nico Rosberg,Mercedes,2,0 days 00:01:52.560000,0 days 00:01:47.417000,0 days 00:01:50.673000
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,VET,5,Sebastian Vettel,Red Bull,3,0 days 00:01:47.632000,0 days 00:01:46.828000,0 days 00:01:50.789000
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,SUT,14,Adrian Sutil,Force India,4,0 days 00:01:49.479000,0 days 00:01:47.085000,0 days 00:01:50.914000
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,HUL,10,Nico Hülkenberg,Williams,5,0 days 00:01:49.664000,0 days 00:01:47.346000,0 days 00:01:51.001000
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,KUB,11,Robert Kubica,Renault,6,0 days 00:01:46.283000,0 days 00:01:46.951000,0 days 00:01:51.051000
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,BAR,9,Rubens Barrichello,Williams,7,0 days 00:01:50.301000,0 days 00:01:48.371000,0 days 00:01:51.511000
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,MSC,3,Michael Schumacher,Mercedes,8,0 days 00:01:52.239000,0 days 00:01:48.400000,0 days 00:01:51.717000
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,KOB,23,Kamui Kobayashi,Sauber,9,0 days 00:01:48.467000,0 days 00:01:47.792000,0 days 00:01:51.767000
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,LIU,15,Vitantonio Liuzzi,Force India,10,0 days 00:01:49.922000,0 days 00:01:48.238000,0 days 00:01:52.254000
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,PET,12,Vitaly Petrov,Renault,11,0 days 00:01:47.952000,0 days 00:01:48.760000,
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,DLR,22,Pedro de la Rosa,Sauber,12,0 days 00:01:47.153000,0 days 00:01:48.771000,
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,BUE,16,Sébastien Buemi,Toro Rosso,13,0 days 00:01:48.945000,0 days 00:01:49.207000,
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,ALG,17,Jaime Alguersuari,Toro Rosso,14,0 days 00:01:48.655000,0 days 00:01:49.464000,
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,KOV,19,Heikki Kovalainen,Lotus,15,0 days 00:01:52.875000,0 days 00:01:52.270000,
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,GLO,24,Timo Glock,Virgin,16,0 days 00:01:52.398000,0 days 00:01:52.520000,
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,BUT,1,Jenson Button,McLaren,17,0 days 00:01:52.211000,,
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,TRU,18,Jarno Trulli,Lotus,18,0 days 00:01:52.884000,,
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,ALO,8,Fernando Alonso,Ferrari,19,0 days 00:01:53.044000,,
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,HAM,2,Lewis Hamilton,McLaren,20,0 days 00:01:53.050000,,
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,MAS,7,Felipe Massa,Ferrari,21,0 days 00:01:53.283000,,
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,CHA,20,Karun Chandhok,HRT,22,0 days 00:01:56.299000,,
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,SEN,21,Bruno Senna,HRT,23,0 days 00:01:57.269000,,
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,DIG,25,Lucas di Grassi,Virgin,24,0 days 00:01:59.977000,,
2010,4,2010-shanghai,Chinese Grand Prix,VET,5,Sebastian Vettel,Red Bull,1,0 days 00:01:36.317000,0 days 00:01:35.280000,0 days 00:01:34.558000
2010,4,2010-shanghai,Chinese Grand Prix,WEB,6,Mark Webber,Red Bull,2,0 days 00:01:35.978000,0 days 00:01:35.100000,0 days 00:01:34.808000
2010,4,2010-shanghai,Chinese Grand Prix,ALO,8,Fernando Alonso,Ferrari,3,0 days 00:01:35.987000,0 days 00:01:35.235000,0 days 00:01:34.913000
2010,4,2010-shanghai,Chinese Grand Prix,ROS,4,Nico Rosberg,Mercedes,4,0 days 00:01:35.952000,0 days 00:01:35.134000,0 days 00:01:34.923000
2010,4,2010-shanghai,Chinese Grand Prix,BUT,1,Jenson Button,McLaren,5,0 days 00:01:36.122000,0 days 00:01:35.443000,0 days 00:01:34.979000
2010,4,2010-shanghai,Chinese Grand Prix,HAM,2,Lewis Hamilton,McLaren,6,0 days 00:01:35.641000,0 days 00:01:34.928000,0 days 00:01:35.034000
2010,4,2010-shanghai,Chinese Grand Prix,MAS,7,Felipe Massa,Ferrari,7,0 days 00:01:36.076000,0 days 00:01:35.290000,0 days 00:01:35.180000
2010,4,2010-shanghai,Chinese Grand Prix,KUB,11,Robert Kubica,Renault,8,0 days 00:01:36.348000,0 days 00:01:35.550000,0 days 00:01:35.364000
