year,round,event_id,event_name,driver,driver_number,driver_name,team,classified_position,position,grid_position,status,points,laps,time
2010,1,2010-sakhir,Bahrain Grand Prix,ALO,8,Fernando Alonso,Ferrari,1,1,3,Finished,25.0,49,0 days 01:39:20.396000
2010,1,2010-sakhir,Bahrain Grand Prix,MAS,7,Felipe Massa,Ferrari,2,2,2,Finished,18.0,49,0 days 00:00:16.099000
2010,1,2010-sakhir,Bahrain Grand Prix,HAM,2,Lewis Hamilton,McLaren,3,3,4,Finished,15.0,49,0 days 00:00:23.182000
2010,1,2010-sakhir,Bahrain Grand Prix,VET,5,Sebastian Vettel,Red Bull,4,4,1,Finished,12.0,49,0 days 00:00:38.799000
2010,1,2010-sakhir,Bahrain Grand Prix,ROS,4,Nico Rosberg,Mercedes,5,5,5,Finished,10.0,49,0 days 00:00:40.213000
2010,1,2010-sakhir,Bahrain Grand Prix,MSC,3,Michael Schumacher,Mercedes,6,6,7,Finished,8.0,49,0 days 00:00:44.163000
2010,1,2010-sakhir,Bahrain Grand Prix,BUT,1,Jenson Button,McLaren,7,7,8,Finished,6.0,49,0 days 00:00:45.280000
2010,1,2010-sakhir,Bahrain Grand Prix,WEB,6,Mark Webber,Red Bull,8,8,6,Finished,4.0,49,0 days 00:00:46.360000
2010,1,2010-sakhir,Bahrain Grand Prix,LIU,15,Vitantonio Liuzzi,Force India,9,9,12,Finished,2.0,49,0 days 00:00:53.008000
2010,1,2010-sakhir,Bahrain Grand Prix,BAR,9,Rubens Barrichello,Williams,10,10,11,Finished,1.0,49,0 days 00:01:02.489000
2010,1,2010-sakhir,Bahrain Grand Prix,KUB,11,Robert Kubica,Renault,11,11,9,Finished,0.0,49,0 days 00:01:09.093000
2010,1,2010-sakhir,Bahrain Grand Prix,SUT,14,Adrian Sutil,Force India,12,12,10,Finished,0.0,49,0 days 00:01:22.958000
2010,1,2010-sakhir,Bahrain Grand Prix,ALG,17,Jaime Alguersuari,Toro Rosso,13,13,18,Finished,0.0,49,0 days 00:01:32.656000
2010,1,2010-sakhir,Bahrain Grand Prix,HUL,10,Nico Hülkenberg,Williams,14,14,13,+1 Lap,0.0,48,
2010,1,2010-sakhir,Bahrain Grand Prix,KOV,19,Heikki Kovalainen,Lotus,15,15,21,+2 Laps,0.0,47,
2010,1,2010-sakhir,Bahrain Grand Prix,BUE,16,Sébastien Buemi,Toro Rosso,16,16,15,Electrical,0.0,46,
2010,1,2010-sakhir,Bahrain Grand Prix,TRU,18,Jarno Trulli,Lotus,17,17,20,Hydraulics,0.0,46,
2010,1,2010-sakhir,Bahrain Grand Prix,DLR,22,Pedro de la Rosa,Sauber,R,18,14,Hydraulics,0.0,28,
2010,1,2010-sakhir,Bahrain Grand Prix,SEN,21,Bruno Senna,HRT,R,19,23,Overheating,0.0,17,
2010,1,2010-sakhir,Bahrain Grand Prix,GLO,24,Timo Glock,Virgin,R,20,19,Gearbox,0.0,16,
2010,1,2010-sakhir,Bahrain Grand Prix,PET,12,Vitaly Petrov,Renault,R,21,17,Suspension,0.0,13,
2010,1,2010-sakhir,Bahrain Grand Prix,KOB,23,Kamui Kobayashi,Sauber,R,22,16,Hydraulics,0.0,11,
2010,1,2010-sakhir,Bahrain Grand Prix,DIG,25,Lucas di Grassi,Virgin,R,23,22,Hydraulics,0.0,2,
2010,1,2010-sakhir,Bahrain Grand Prix,CHA,20,Karun Chandhok,HRT,R,24,24,Accident,0.0,1,
2010,2,2010-melbourne,Australian Grand Prix,BUT,1,Jenson Button,McLaren,1,1,4,Finished,25.0,58,0 days 01:33:36.531000
2010,2,2010-melbourne,Australian Grand Prix,KUB,11,Robert Kubica,Renault,2,2,9,Finished,18.0,58,0 days 00:00:12.034000
2010,2,2010-melbourne,Australian Grand Prix,MAS,7,Felipe Massa,Ferrari,3,3,5,Finished,15.0,58,0 days 00:00:14.488000
2010,2,2010-melbourne,Australian Grand Prix,ALO,8,Fernando Alonso,Ferrari,4,4,3,Finished,12.0,58,0 days 00:00:16.304000
2010,2,2010-melbourne,Australian Grand Prix,ROS,4,Nico Rosberg,Mercedes,5,5,6,Finished,10.0,58,0 days 00:00:16.683000
2010,2,2010-melbourne,Australian Grand Prix,HAM,2,Lewis Hamilton,McLaren,6,6,11,Finished,8.0,58,0 days 00:00:29.898000
2010,2,2010-melbourne,Australian Grand Prix,LIU,15,Vitantonio Liuzzi,Force India,7,7,13,Finished,6.0,58,0 days 00:00:59.847000
2010,2,2010-melbourne,Australian Grand Prix,BAR,9,Rubens Barrichello,Williams,8,8,8,Finished,4.0,58,0 days 00:01:00.536000
2010,2,2010-melbourne,Australian Grand Prix,WEB,6,Mark Webber,Red Bull,9,9,2,Finished,2.0,58,0 days 00:01:07.319000
2010,2,2010-melbourne,Australian Grand Prix,MSC,3,Michael Schumacher,Mercedes,10,10,7,Finished,1.0,58,0 days 00:01:09.391000
2010,2,2010-melbourne,Australian Grand Prix,ALG,17,Jaime Alguersuari,Toro Rosso,11,11,17,Finished,0.0,58,0 days 00:01:11.301000
2010,2,2010-melbourne,Australian Grand Prix,DLR,22,Pedro de la Rosa,Sauber,12,12,14,Finished,0.0,58,0 days 00:01:14.084000
2010,2,2010-melbourne,Australian Grand Prix,KOV,19,Heikki Kovalainen,Lotus,13,13,19,+2 Laps,0.0,56,
2010,2,2010-melbourne,Australian Grand Prix,CHA,20,Karun Chandhok,HRT,14,14,22,+5 Laps,0.0,53,
2010,2,2010-melbourne,Australian Grand Prix,GLO,24,Timo Glock,Virgin,R,15,23,Suspension,0.0,41,
2010,2,2010-melbourne,Australian Grand Prix,DIG,25,Lucas di Grassi,Virgin,R,16,24,Hydraulics,0.0,26,
2010,2,2010-melbourne,Australian Grand Prix,VET,5,Sebastian Vettel,Red Bull,R,17,1,Wheel,0.0,25,
2010,2,2010-melbourne,Australian Grand Prix,SUT,14,Adrian Sutil,Force India,R,18,10,Engine,0.0,9,
2010,2,2010-melbourne,Australian Grand Prix,PET,12,Vitaly Petrov,Renault,R,19,18,Spun off,0.0,9,
2010,2,2010-melbourne,Australian Grand Prix,SEN,21,Bruno Senna,HRT,R,20,21,Hydraulics,0.0,4,
2010,2,2010-melbourne,Australian Grand Prix,BUE,16,Sébastien Buemi,Toro Rosso,R,21,12,Collision,0.0,0,
2010,2,2010-melbourne,Australian Grand Prix,HUL,10,Nico Hülkenberg,Williams,R,22,15,Collision,0.0,0,
2010,2,2010-melbourne,Australian Grand Prix,KOB,23,Kamui Kobayashi,Sauber,R,23,16,Collision,0.0,0,
2010,2,2010-melbourne,Australian Grand Prix,TRU,18,Jarno Trulli,Lotus,W,24,20,Hydraulics,0.0,0,
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,VET,5,Sebastian Vettel,Red Bull,1,1,3,Finished,25.0,56,0 days 01:33:48.412000
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,WEB,6,Mark Webber,Red Bull,2,2,1,Finished,18.0,56,0 days 00:00:04.849000
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,ROS,4,Nico Rosberg,Mercedes,3,3,2,Finished,15.0,56,0 days 00:00:13.504000
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,KUB,11,Robert Kubica,Renault,4,4,6,Finished,12.0,56,0 days 00:00:18.589000
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,SUT,14,Adrian Sutil,Force India,5,5,4,Finished,10.0,56,0 days 00:00:21.059000
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,HAM,2,Lewis Hamilton,McLaren,6,6,20,Finished,8.0,56,0 days 00:00:23.471000
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,MAS,7,Felipe Massa,Ferrari,7,7,21,Finished,6.0,56,0 days 00:00:27.068000
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,BUT,1,Jenson Button,McLaren,8,8,17,Finished,4.0,56,0 days 00:00:37.918000
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,ALG,17,Jaime Alguersuari,Toro Rosso,9,9,14,Finished,2.0,56,0 days 00:01:10.602000
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,HUL,10,Nico Hülkenberg,Williams,10,10,5,Finished,1.0,56,0 days 00:01:13.399000
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,BUE,16,Sébastien Buemi,Toro Rosso,11,11,13,Finished,0.0,56,0 days 00:01:18.938000
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,BAR,9,Rubens Barrichello,Williams,12,12,7,+1 Lap,0.0,55,
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,ALO,8,Fernando Alonso,Ferrari,13,13,19,Engine,0.0,54,
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,DIG,25,Lucas di Grassi,Virgin,14,14,24,+3 Laps,0.0,53,
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,CHA,20,Karun Chandhok,HRT,15,15,22,+3 Laps,0.0,53,
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,SEN,21,Bruno Senna,HRT,16,16,23,+4 Laps,0.0,52,
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,TRU,18,Jarno Trulli,Lotus,17,17,18,+5 Laps,0.0,51,
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,KOV,19,Heikki Kovalainen,Lotus,R,18,15,+10 Laps,0.0,46,
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,PET,12,Vitaly Petrov,Renault,R,19,11,Gearbox,0.0,32,
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,LIU,15,Vitantonio Liuzzi,Force India,R,20,10,Throttle,0.0,12,
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,MSC,3,Michael Schumacher,Mercedes,R,21,8,Wheel,0.0,9,
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,KOB,23,Kamui Kobayashi,Sauber,R,22,9,Engine,0.0,8,
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,GLO,24,Timo Glock,Virgin,R,23,16,Spun off,0.0,2,
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,DLR,22,Pedro de la Rosa,Sauber,W,24,12,Engine,0.0,0,
2010,4,2010-shanghai,Chinese Grand Prix,BUT,1,Jenson Button,McLaren,1,1,5,Finished,25.0,56,0 days 01:46:42.163000
