circuit_id,circuit_name,circuit_url,country,date,event_id,event_name,event_slug,latitude,locality,longitude,round,season,time,url,year
jacarepagua,Autódromo Internacional Nelson Piquet,https://en.wikipedia.org/wiki/Aut%C3%B3dromo_Internacional_Nelson_Piquet,Brazil,1984-03-25,1984-rio-de-janeiro,Brazilian Grand Prix,rio-de-janeiro,-22.9756,Rio de Janeiro,-43.395,1,1984,,https://en.wikipedia.org/wiki/1984_Brazilian_Grand_Prix,1984
kyalami,Kyalami,https://en.wikipedia.org/wiki/Kyalami,South Africa,1984-04-07,1984-midrand,South African Grand Prix,midrand,-25.9894,Midrand,28.0767,2,1984,,https://en.wikipedia.org/wiki/1984_South_African_Grand_Prix,1984
zolder,Zolder,https://en.wikipedia.org/wiki/Circuit_Zolder,Belgium,1984-04-29,1984-heusden-zolder,Belgian Grand Prix,heusden-zolder,50.9894,Heusden-Zolder,5.25694,3,1984,,https://en.wikipedia.org/wiki/1984_Belgian_Grand_Prix,1984
imola,Autodromo Enzo e Dino Ferrari,https://en.wikipedia.org/wiki/Imola_Circuit,Italy,1984-05-06,1984-imola,San Marino Grand Prix,imola,44.3439,Imola,11.7167,4,1984,,https://en.wikipedia.org/wiki/1984_San_Marino_Grand_Prix,1984
dijon,Dijon-Prenois,https://en.wikipedia.org/wiki/Dijon-Prenois,France,1984-05-20,1984-dijon,French Grand Prix,dijon,47.3625,Dijon,4.89913,5,1984,,https://en.wikipedia.org/wiki/1984_French_Grand_Prix,1984
monaco,Circuit de Monaco,https://en.wikipedia.org/wiki/Circuit_de_Monaco,Monaco,1984-06-03,1984-monte-carlo,Monaco Grand Prix,monte-carlo,43.7347,Monte Carlo,7.42056,6,1984,,https://en.wikipedia.org/wiki/1984_Monaco_Grand_Prix,1984
villeneuve,Circuit Gilles Villeneuve,https://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve,Canada,1984-06-17,1984-montreal,Canadian Grand Prix,montreal,45.5,Montreal,-73.5228,7,1984,,https://en.wikipedia.org/wiki/1984_Canadian_Grand_Prix,1984
detroit,Detroit Street Circuit,https://en.wikipedia.org/wiki/Detroit_street_circuit,USA,1984-06-24,1984-detroit,Detroit Grand Prix,detroit,42.3298,Detroit,-83.0401,8,1984,,https://en.wikipedia.org/wiki/1984_Detroit_Grand_Prix,1984
dallas,Fair Park,https://en.wikipedia.org/wiki/Fair_Park,USA,1984-07-08,1984-dallas,Dallas Grand Prix,dallas,32.7774,Dallas,-96.7587,9,1984,,https://en.wikipedia.org/wiki/1984_Dallas_Grand_Prix,1984
brands_hatch,Brands Hatch,https://en.wikipedia.org/wiki/Brands_Hatch,UK,1984-07-22,1984-kent,British Grand Prix,kent,51.3569,Kent,0.263056,10,1984,,https://en.wikipedia.org/wiki/1984_British_Grand_Prix,1984
hockenheimring,Hockenheimring,https://en.wikipedia.org/wiki/Hockenheimring,Germany,1984-08-05,1984-hockenheim,German Grand Prix,hockenheim,49.3278,Hockenheim,8.56583,11,1984,,https://en.wikipedia.org/wiki/1984_German_Grand_Prix,1984
red_bull_ring,Red Bull Ring,https://en.wikipedia.org/wiki/Red_Bull_Ring,Austria,1984-08-19,1984-spielberg,Austrian Grand Prix,spielberg,47.2197,Spielberg,14.7647,12,1984,,https://en.wikipedia.org/wiki/1984_Austrian_Grand_Prix,1984
zandvoort,Circuit Park Zandvoort,https://en.wikipedia.org/wiki/Circuit_Zandvoort,Netherlands,1984-08-26,1984-zandvoort,Dutch Grand Prix,zandvoort,52.3888,Zandvoort,4.54092,13,1984,,https://en.wikipedia.org/wiki/1984_Dutch_Grand_Prix,1984
monza,Autodromo Nazionale di Monza,https://en.wikipedia.org/wiki/Monza_Circuit,Italy,1984-09-09,1984-monza,Italian Grand Prix,monza,45.6156,Monza,9.28111,14,1984,,https://en.wikipedia.org/wiki/1984_Italian_Grand_Prix,1984
nurburgring,Nürburgring,https://en.wikipedia.org/wiki/N%C3%BCrburgring,Germany,1984-10-07,1984-n-rburg,European Grand Prix,n-rburg,50.3356,Nürburg,6.9475,15,1984,,https://en.wikipedia.org/wiki/1984_European_Grand_Prix,1984
estoril,Autódromo do Estoril,https://en.wikipedia.org/wiki/Circuito_do_Estoril,Portugal,1984-10-21,1984-estoril,Portuguese Grand Prix,estoril,38.7506,Estoril,-9.39417,16,1984,,https://en.wikipedia.org/wiki/1984_Portuguese_Grand_Prix,1984
