stint_rank,Driver,Team,Compound,Stint,from_lap,to_lap,laps,average_lap_seconds,median_lap_seconds,best_lap_seconds
1,VER,Red Bull Racing,HARD,2.0,10.0,54.0,44,82.544,81.909,80.342
2,PER,Red Bull Racing,HARD,4.0,10.0,53.0,43,82.65,81.908,80.235
3,SAR,Williams,HARD,5.0,38.0,52.0,15,82.754,81.974,81.456
4,SAI,Ferrari,HARD,3.0,10.0,54.0,44,82.931,81.93,80.467
5,OCO,Alpine,HARD,3.0,10.0,53.0,43,82.994,82.047,81.203
6,HAM,Mercedes,HARD,2.0,11.0,54.0,44,83.215,82.1,80.613
7,ALO,Aston Martin,HARD,2.0,10.0,54.0,45,83.309,82.021,80.476
8,GAS,Alpine,HARD,2.0,10.0,54.0,45,83.55,81.964,80.995
9,STR,Aston Martin,HARD,2.0,10.0,54.0,45,83.598,82.155,80.934
10,ZHO,Alfa Romeo,HARD,3.0,10.0,53.0,43,83.73,83.222,81.819
11,PIA,McLaren,HARD,2.0,10.0,53.0,44,83.848,82.649,81.335
12,NOR,McLaren,HARD,2.0,10.0,54.0,45,83.902,82.294,81.173
13,BOT,Alfa Romeo,HARD,3.0,10.0,52.0,42,83.993,83.38,82.233
14,HUL,Haas F1 Team,HARD,2.0,10.0,54.0,45,83.995,82.397,81.124
15,MAG,Haas F1 Team,HARD,3.0,10.0,52.0,43,84.181,83.216,81.685
16,PER,Red Bull Racing,HARD,3.0,4.0,6.0,3,84.398,84.501,83.584
17,TSU,AlphaTauri,HARD,2.0,10.0,53.0,44,84.487,83.37,81.789
18,MAG,Haas F1 Team,MEDIUM,1.0,4.0,6.0,3,84.805,85.054,83.956
19,DEV,AlphaTauri,SOFT,3.0,47.0,53.0,7,84.867,81.331,81.183
20,ZHO,Alfa Romeo,HARD,2.0,4.0,6.0,3,84.969,84.856,84.847
21,SAR,Williams,MEDIUM,4.0,10.0,35.0,25,85.007,84.105,83.499
22,SAR,Williams,HARD,3.0,4.0,6.0,3,85.086,85.136,84.319
23,BOT,Alfa Romeo,HARD,2.0,4.0,6.0,3,85.179,84.849,84.331
24,RUS,Mercedes,HARD,3.0,10.0,17.0,8,85.504,83.437,82.68
25,DEV,AlphaTauri,MEDIUM,2.0,10.0,44.0,35,85.69,84.229,83.579
26,ALO,Aston Martin,MEDIUM,1.0,4.0,7.0,4,86.385,83.792,82.603
27,GAS,Alpine,SOFT,1.0,4.0,7.0,4,87.265,84.48,83.529
28,STR,Aston Martin,MEDIUM,1.0,4.0,7.0,4,87.357,84.161,83.076
29,HUL,Haas F1 Team,MEDIUM,1.0,4.0,7.0,4,87.958,84.564,83.539
30,SAI,Ferrari,MEDIUM,1.0,1.0,6.0,4,88.445,83.553,82.809
31,HAM,Mercedes,MEDIUM,1.0,1.0,7.0,5,88.746,83.295,82.89
32,TSU,AlphaTauri,MEDIUM,1.0,4.0,7.0,4,88.967,84.96,84.11
33,PIA,McLaren,MEDIUM,1.0,4.0,7.0,4,89.008,85.212,84.052
34,OCO,Alpine,HARD,2.0,4.0,7.0,4,89.02,85.288,83.963
35,DEV,AlphaTauri,HARD,1.0,4.0,7.0,4,89.073,85.142,84.18
36,NOR,McLaren,MEDIUM,1.0,4.0,7.0,4,89.107,85.088,83.858
37,VER,Red Bull Racing,MEDIUM,1.0,1.0,7.0,5,89.196,83.391,82.843
38,RUS,Mercedes,MEDIUM,1.0,1.0,6.0,5,95.86,83.159,83.134
39,ALB,Williams,MEDIUM,1.0,1.0,6.0,6,102.974,95.35,83.349
