pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,VER,Red Bull Racing,1,44,92.853,92.785,91.773,0.498,0.0
2,PER,Red Bull Racing,11,44,93.029,92.828,92.273,0.584,0.176
3,LEC,Ferrari,16,44,93.274,93.176,91.632,0.776,0.421
4,PIA,McLaren,81,44,93.574,93.61,92.31,0.79,0.721
5,NOR,McLaren,4,43,93.561,93.65,91.944,0.951,0.708
6,ALO,Aston Martin,14,44,93.645,93.676,92.387,0.853,0.792
7,RUS,Mercedes,63,44,93.766,93.69,92.254,0.933,0.913
8,HAM,Mercedes,44,43,93.667,93.693,91.746,1.082,0.814
9,BEA,Ferrari,38,45,93.934,93.771,92.186,1.265,1.081
10,HUL,Haas F1 Team,27,43,94.347,94.605,92.366,1.412,1.494
11,ZHO,Kick Sauber,24,43,94.988,95.002,92.208,1.417,2.135
12,MAG,Haas F1 Team,20,45,94.866,95.266,92.338,1.391,2.013
13,ALB,Williams,23,45,94.904,95.278,92.307,1.381,2.051
14,OCO,Alpine,31,44,95.242,95.352,93.481,1.189,2.389
15,TSU,RB,22,44,95.197,95.372,93.523,1.087,2.344
16,BOT,Kick Sauber,77,42,95.157,95.436,92.706,1.537,2.304
17,SAR,Williams,2,44,95.264,95.481,93.026,1.142,2.411
18,RIC,RB,3,44,95.448,95.628,93.323,1.276,2.595
19,STR,Aston Martin,18,5,97.122,95.79,95.56,2.973,4.269
